"","Precinct","RegisteredVoters","BallotsCase","Turnout","GovernorDem","GovernorRep","GovernorOther","SecretaryofStateDem","SecretaryofStateRep","SecretaryofStateOther","AttorneyGeneralDem","AttorneyGeneralRep","AttorneyGeneralOther","USSenateDem","USSenateRep","USSenateOther","USHouseDem","USHouseRep","USHouseOther","MISenateDem","MISenateRep","MISenateOther","MIHouseDem","MIHouseRep","MIHouseOther","MIBoardofEdDem","MIBoardofEdRep","MIBoardofEdOther","UofMRegentDem","UofMRegentRep","UofMRegentOther","MSUTrusteeDem","MSUTrusteeRep","MSUTrusteeOther","WSUGovernorDem","WSUGovernorRep","WSUGovernorOther","KCCDem","KCCRep","KCCOther","geo_id"
"28","Caledonia Township Precinct 4",1291,953,0.73,267,659,22,274,639,25,227,659,38,275,660,9,250,661,24,244,660,22,251,635,20,453,1119,106,396,1101,99,437,1067,95,391,1072,79,0,690,0,28
"29","Caledonia Township Precinct 5",2334,1566,0.67,487,1029,39,494,1017,36,429,1033,59,482,1052,19,406,1084,33,459,1031,30,446,1009,41,788,1803,171,715,1789,140,748,1757,128,679,1737,122,0,1196,0,29
"30","Caledonia Township Precinct 6",1871,1284,0.68,516,724,39,501,718,31,411,766,55,488,759,21,420,791,26,463,739,31,440,737,44,774,1292,159,691,1260,161,761,1236,131,676,1235,118,412,757,0,30
"31","Cannon Township Precinct 1",2060,1524,0.73,565,911,38,533,913,42,484,935,55,535,940,28,457,995,28,527,924,31,477,988,0,864,1620,149,788,1586,151,828,1555,133,737,1543,110,467,897,0,31
"32","Cannon Township Precinct 2",1931,1341,0.69,487,799,44,456,812,46,409,828,67,470,842,19,416,875,25,446,835,28,404,895,0,734,1433,185,680,1387,156,704,1362,155,647,1355,138,407,832,0,32
"33","Cannon Township Precinct 3",1591,1175,0.73,473,656,37,453,658,36,408,682,45,466,685,14,411,701,27,451,664,30,427,699,0,770,1160,128,703,1132,120,728,1124,98,697,1094,94,386,681,0,33
"34","Cannon Township Precinct 4",2241,1608,0.71,610,963,22,577,959,36,518,1003,43,580,992,16,503,1035,29,564,970,21,483,1052,0,957,1718,151,842,1701,153,886,1664,134,808,1671,123,498,964,0,34
"35","Cannon Township Precinct 5",1562,1147,0.73,374,738,26,366,722,32,334,731,48,363,750,18,323,751,30,335,752,21,322,772,0,562,1298,126,505,1256,125,538,1252,107,466,1234,109,305,725,0,35
"36","Cannon Township Precinct 6",1862,1343,0.72,492,802,35,454,825,31,415,837,47,490,822,17,422,853,32,422,850,28,409,870,0,723,1357,206,668,1329,164,704,1317,140,653,1279,107,390,797,0,36
"37","Cascade Charter Township Precinct 1",1348,1041,0.77,409,616,6,373,635,15,327,651,32,401,624,7,339,666,12,331,666,7,337,623,21,635,1153,73,566,1165,73,588,1154,65,541,1136,60,306,657,0,37
