"","Precinct","RegisteredVoters","BallotsCase","Turnout","GovernorDem","GovernorRep","GovernorOther","SecretaryofStateDem","SecretaryofStateRep","SecretaryofStateOther","AttorneyGeneralDem","AttorneyGeneralRep","AttorneyGeneralOther","USSenateDem","USSenateRep","USSenateOther","USHouseDem","USHouseRep","USHouseOther","MISenateDem","MISenateRep","MISenateOther","MIHouseDem","MIHouseRep","MIHouseOther","MIBoardofEdDem","MIBoardofEdRep","MIBoardofEdOther","UofMRegentDem","UofMRegentRep","UofMRegentOther","MSUTrusteeDem","MSUTrusteeRep","MSUTrusteeOther","WSUGovernorDem","WSUGovernorRep","WSUGovernorOther","KCCDem","KCCRep","KCCOther","geo_id"
"111","Grand Rapids Ward 2 Precinct 48",1482,840,0.56,644,157,32,635,158,33,601,162,50,620,177,32,612,186,13,622,158,31,624,142,33,1052,243,161,979,261,123,993,250,117,973,245,97,610,159,0,111
"112","Grand Rapids Ward 2 Precinct 49",2046,1136,0.55,902,181,39,860,198,44,847,191,58,869,216,34,839,246,14,868,192,39,871,178,40,1435,298,165,1362,312,128,1384,297,131,1334,319,97,828,198,0,112
"113","Grand Rapids Ward 2 Precinct 50",2306,1432,0.62,1184,182,55,1162,206,38,1133,204,58,1169,208,29,1121,258,17,1154,206,38,1149,180,42,1978,335,182,1871,339,149,1947,310,132,1845,321,122,1104,191,0,113
"114","Grand Rapids Ward 3 Precinct 51",1724,885,0.51,594,246,35,588,246,39,545,255,47,572,269,30,554,292,19,577,253,26,572,277,0,916,425,144,924,398,109,909,405,101,892,415,84,547,254,0,114
"115","Grand Rapids Ward 3 Precinct 52",915,521,0.56,450,49,17,429,51,27,423,56,29,427,68,18,418,76,11,431,57,18,439,44,20,701,92,92,688,97,65,710,87,58,680,92,51,425,61,0,115
"116","Grand Rapids Ward 3 Precinct 53",2863,1739,0.6,849,832,42,819,840,39,750,879,59,855,846,20,758,920,18,844,816,27,783,864,0,1320,1511,173,1234,1490,135,1254,1476,128,1167,1470,114,707,824,0,116
"117","Grand Rapids Ward 3 Precinct 54",1502,1022,0.68,545,447,20,524,467,14,492,471,26,520,484,10,473,518,8,526,462,12,506,473,0,852,827,95,822,811,76,842,785,70,813,772,62,482,446,0,117
"118","Grand Rapids Ward 3 Precinct 55",2164,1449,0.66,872,535,27,836,554,25,774,575,44,833,573,19,775,627,9,832,561,19,822,570,0,1375,991,145,1304,981,114,1355,944,97,1282,951,89,766,561,0,118
"119","Grand Rapids Ward 3 Precinct 56",2007,1289,0.64,743,494,35,737,496,31,676,523,54,735,518,23,661,588,13,752,481,26,693,537,0,1186,914,145,1158,884,110,1195,858,121,1110,866,108,653,528,0,119
"120","Grand Rapids Ward 3 Precinct 57",1234,805,0.65,528,252,14,524,255,9,481,258,37,510,267,13,490,286,7,511,251,19,502,262,0,851,440,87,821,437,71,815,419,65,797,423,54,493,241,0,120
"121","Grand Rapids Ward 3 Precinct 58",1771,1130,0.63,650,438,32,644,450,20,579,476,43,634,465,20,588,504,16,638,442,24,612,465,0,1043,818,107,994,812,86,1020,791,84,969,786,71,593,446,0,121
"122","Grand Rapids Ward 3 Precinct 59",2393,1610,0.67,1079,482,30,1050,485,35,988,519,63,1051,509,31,971,582,16,1075,481,27,1030,512,0,1772,872,180,1674,838,131,1681,842,130,1610,846,118,984,469,0,122
"123","Grand Rapids Ward 3 Precinct 60",2375,1329,0.55,1150,135,34,1124,154,32,1074,155,54,1102,171,32,1080,203,12,1113,150,34,1115,134,29,1835,290,187,1792,289,123,1808,261,138,1734,291,97,1059,166,0,123
"124","Grand Rapids Ward 3 Precinct 61",899,571,0.63,438,103,16,428,111,15,407,122,24,438,116,10,407,141,2,442,102,12,429,114,0,690,192,71,658,194,61,681,183,61,643,198,40,418,102,0,124
"125","Grand Rapids Ward 3 Precinct 62",1823,851,0.46,680,127,32,675,118,36,643,127,50,664,152,24,651,168,11,666,125,30,680,120,20,1103,219,124,1111,222,85,1098,224,95,1090,233,64,659,131,0,125
"126","Grand Rapids Ward 3 Precinct 63",1860,891,0.47,753,97,26,747,94,27,722,95,42,732,117,28,723,128,14,743,93,32,753,95,14,1183,164,132,1201,166,92,1175,172,86,1166,169,70,730,108,0,126
"127","Grand Rapids Ward 3 Precinct 64",1984,885,0.44,663,187,27,652,176,35,613,193,44,637,200,33,630,214,17,649,181,29,655,188,0,1020,333,139,971,333,108,975,318,101,975,320,84,627,194,0,127
"128","Grand Rapids Ward 3 Precinct 65",2000,965,0.48,679,252,22,659,258,29,627,253,56,670,268,19,632,281,27,657,246,30,654,261,0,1082,451,117,1061,434,86,1059,432,84,1028,449,69,644,235,0,128
"129","Grand Rapids Ward 3 Precinct 66",2363,819,0.34,728,49,23,723,52,24,702,48,41,712,63,31,716,59,14,708,45,36,721,40,19,1132,69,121,1139,71,79,1129,69,71,1142,71,61,715,43,0,129
"130","Grand Rapids Ward 3 Precinct 67",2799,1032,0.36,929,61,20,933,61,22,908,61,32,913,76,26,917,76,12,928,58,24,929,56,18,1507,105,98,1507,93,70,1491,102,60,1470,102,47,916,64,0,130
"131","Grand Rapids Ward 3 Precinct 68",1642,1135,0.69,883,219,24,868,235,17,827,237,32,870,243,15,828,292,5,884,224,15,872,234,0,1473,397,111,1387,412,83,1417,374,84,1355,387,65,804,232,0,131
"132","Grand Rapids Ward 3 Precinct 69",1359,983,0.72,494,464,14,475,472,16,438,489,24,479,486,7,447,514,5,487,468,7,463,476,0,805,825,65,748,806,65,758,788,69,716,779,58,444,444,0,132
"133","Grand Rapids Ward 3 Precinct 70",1791,660,0.36,596,24,22,598,28,20,566,28,40,580,40,29,572,55,8,584,29,23,590,28,11,951,38,84,941,43,58,954,43,48,946,51,46,584,29,0,133
"134","Grand Rapids Ward 3 Precinct 71",1695,958,0.56,762,161,27,751,162,24,730,167,27,744,179,17,727,194,11,767,150,18,749,164,0,1229,277,109,1179,263,87,1196,258,76,1157,260,59,723,162,0,134
"135","Grand Rapids Ward 3 Precinct 72",871,603,0.69,437,152,11,422,156,13,407,157,23,413,174,11,402,183,3,424,151,11,430,140,9,684,274,64,632,257,68,651,250,62,625,256,53,393,162,0,135
"136","Grand Rapids Ward 3 Precinct 73",1165,766,0.65,494,242,17,483,248,17,440,259,38,487,258,9,445,303,3,494,236,16,467,261,0,793,424,85,742,438,59,765,421,47,698,417,54,430,269,0,136
"137","Grand Rapids Ward 3 Precinct 74",1371,808,0.58,566,194,39,549,203,31,520,209,47,550,219,23,525,246,11,550,201,32,556,187,29,896,338,134,853,344,102,861,304,116,828,326,92,531,204,0,137
"138","Grand Rapids Ward 3 Precinct 75",1209,602,0.49,498,72,27,483,84,24,460,88,35,474,94,22,468,106,7,485,76,25,488,73,17,750,132,118,744,130,88,750,136,75,723,141,65,462,91,0,138
"139","Grand Rapids Ward 3 Precinct 76",1577,653,0.41,583,38,22,585,36,15,565,40,28,575,49,18,575,53,3,580,35,18,571,37,17,921,59,79,905,65,59,905,64,53,909,62,39,564,42,0,139
"140","Grand Rapids Ward 3 Precinct 77",1291,916,0.7,622,271,19,602,281,16,559,299,31,599,292,13,567,321,9,605,268,20,588,289,0,977,489,110,956,489,75,970,460,70,935,459,57,573,271,0,140
"141","Grand Rapids Charter Township Precinct 1",1513,1075,0.71,430,616,22,414,624,20,371,655,24,424,627,11,364,680,8,362,671,11,346,691,0,658,1146,87,614,1132,91,652,1101,88,601,1081,76,345,642,0,141
"142","Grand Rapids Charter Township Precinct 3",1812,1358,0.74,685,637,20,645,674,21,586,701,40,667,663,16,594,707,18,589,714,13,560,759,0,1059,1240,125,1015,1246,107,1069,1209,96,986,1206,84,571,712,0,142
"143","Grand Rapids Charter Township Precinct 4",1733,1263,0.72,632,597,27,602,611,22,548,628,55,587,659,10,550,663,20,565,651,20,556,675,0,1027,1093,135,950,1089,118,990,1071,118,900,1084,94,544,641,0,143
"144","Grand Rapids Charter Township Precinct 5",1863,1364,0.73,712,617,25,693,623,22,626,650,46,685,655,11,634,679,17,629,683,22,626,694,0,1119,1133,121,992,1153,129,1064,1104,123,978,1094,102,611,659,0,144
"145","Grand Rapids Charter Township Precinct 6",1720,1276,0.74,588,636,42,574,626,47,536,645,53,570,669,20,536,684,23,537,667,31,517,712,0,974,1092,158,902,1085,138,920,1093,120,867,1066,107,520,667,0,145
"146","Grand Rapids Charter Township Precinct 7",1043,669,0.64,309,338,19,306,330,22,265,352,32,302,348,15,267,375,14,285,342,20,278,366,0,473,560,100,433,547,67,450,540,62,424,535,55,282,348,0,146
"147","Grand Rapids Charter Township Precinct 8",1783,1300,0.72,612,651,25,589,675,17,533,705,32,591,690,8,530,734,14,523,728,11,532,719,0,964,1194,125,891,1163,120,928,1154,112,881,1153,86,517,691,0,147
"148","Grandville Precinct 1",1577,1029,0.65,444,539,40,422,539,40,386,552,46,431,560,24,413,577,21,396,558,30,404,573,0,670,905,156,635,891,126,634,892,125,601,879,114,355,561,0,148
"149","Grandville Precinct 2",2014,1232,0.61,534,648,39,513,650,35,470,663,55,504,682,23,496,682,19,475,666,28,496,674,0,807,1082,197,790,1076,140,784,1053,141,746,1058,118,460,660,0,149
"150","Grandville Precinct 3",2197,1391,0.63,519,796,59,514,791,46,450,811,69,505,833,29,498,831,22,476,819,34,486,827,0,791,1360,198,765,1351,152,766,1322,164,716,1336,145,437,821,0,150
"151","Grandville Precinct 4",1979,1483,0.74,580,853,42,562,853,43,473,909,61,575,873,20,563,882,19,512,875,31,512,905,0,911,1520,165,858,1474,153,881,1464,135,798,1458,117,447,909,0,151
"152","Grandville Precinct 5",2147,1489,0.69,567,881,29,553,867,32,487,904,53,555,895,21,535,908,17,509,897,20,523,903,0,903,1549,154,835,1562,109,853,1535,112,788,1523,107,460,892,0,152
"153","Grandville Precinct 6",1655,1182,0.71,440,699,34,429,702,28,373,742,37,427,724,14,406,735,15,380,730,23,392,734,0,696,1249,122,631,1224,123,648,1211,116,583,1214,102,352,720,0,153
"154","Grattan Township Precinct 1",1502,993,0.66,321,638,25,310,630,31,258,646,57,320,640,22,276,659,31,275,651,24,252,678,26,493,1053,157,448,1058,117,476,1043,121,437,1025,116,263,618,0,154
"155","Grattan Township Precinct 2",1598,1133,0.7,479,617,28,471,614,23,411,625,52,486,611,24,413,672,26,434,641,20,428,634,27,737,1058,154,686,1028,135,692,1021,123,660,1009,108,409,598,0,155
"156","Kentwood Ward 1 Precinct 1",2072,1009,0.48,532,443,22,521,435,31,457,463,52,529,446,19,507,454,22,490,448,27,499,441,26,788,763,128,780,751,89,771,743,100,762,732,85,498,444,18,156
"157","Kentwood Ward 1 Precinct 2",2787,1711,0.61,912,709,75,908,697,66,825,728,90,904,741,43,898,751,25,871,715,54,853,705,64,1479,1225,267,1421,1233,210,1453,1202,202,1402,1215,177,879,706,43,157
"158","Kentwood Ward 1 Precinct 3",1524,971,0.63,502,428,27,487,440,24,454,438,44,493,444,21,472,452,15,454,444,27,461,434,30,803,733,124,778,739,91,800,698,102,754,736,82,474,424,21,158
"159","Kentwood Ward 1 Precinct 4",1385,654,0.47,382,231,29,376,223,35,342,230,46,364,247,26,358,246,23,355,229,33,357,225,35,573,379,121,563,372,93,549,368,101,533,377,82,377,223,19,159
"160","Kentwood Ward 1 Precinct 5",1192,647,0.54,321,290,28,317,287,30,287,291,38,322,294,18,309,312,9,297,293,23,298,294,16,491,482,101,463,484,81,488,467,68,473,466,68,321,284,11,160
"161","Kentwood Ward 1 Precinct 6",2226,1085,0.48,564,463,41,556,456,46,481,494,63,563,468,37,546,491,20,519,473,42,523,467,34,841,791,157,829,793,130,857,769,119,816,770,125,552,455,24,161
"162","Kentwood Ward 1 Precinct 7",1944,1075,0.55,649,380,40,658,363,40,591,400,57,631,404,27,639,403,13,628,382,30,610,401,30,1048,657,145,1039,631,126,1056,630,109,1000,636,106,599,406,0,162
"163","Kentwood Ward 1 Precinct 8",2348,1578,0.67,797,730,35,785,733,34,721,759,56,762,773,29,770,772,13,732,749,39,745,744,31,1284,1300,190,1261,1290,144,1250,1279,150,1194,1260,129,742,749,0,163
"164","Kentwood Ward 1 Precinct 9",2145,1150,0.53,666,425,42,683,411,37,627,427,57,673,431,26,672,437,16,655,423,37,652,421,38,1122,708,147,1103,696,115,1085,681,118,1057,698,93,611,444,0,164
"165","Kentwood Ward 2 Precinct 10",2150,1401,0.65,783,569,37,754,586,29,687,617,62,759,610,18,737,624,5,713,600,31,717,579,37,1238,1011,158,1163,1021,142,1199,1010,114,1135,997,102,705,582,0,165
"166","Kentwood Ward 2 Precinct 11",2803,1759,0.62,992,709,35,954,728,34,876,757,75,924,784,29,922,783,12,885,740,56,888,739,49,1582,1298,177,1513,1283,160,1565,1249,135,1459,1259,131,869,764,0,166
"167","Kentwood Ward 2 Precinct 12",1551,929,0.59,576,313,31,559,324,30,531,328,43,552,344,22,560,334,14,546,318,28,545,320,23,948,555,133,923,556,98,932,544,85,908,536,79,525,338,0,167
"168","Kentwood Ward 2 Precinct 13",2030,1207,0.59,618,550,21,618,544,17,566,569,31,619,545,27,591,585,15,574,555,21,571,556,23,959,1016,108,940,1030,71,950,997,76,915,999,54,553,549,0,168
"169","Kentwood Ward 2 Precinct 15",2618,1231,0.47,876,299,46,861,312,34,795,319,76,838,340,35,850,328,16,832,308,45,842,307,35,1405,530,189,1387,553,125,1414,539,115,1367,546,88,803,342,0,169
"170","Kentwood Ward 2 Precinct 16",2612,1825,0.69,951,825,40,921,840,35,841,873,62,920,866,20,900,876,14,871,847,31,882,836,27,1536,1478,177,1433,1509,155,1456,1449,161,1382,1454,122,823,836,0,170
"171","Lowell Precinct 1",1606,965,0.6,484,425,53,472,439,39,411,455,73,457,460,33,420,498,27,452,444,45,429,434,59,751,722,181,702,715,150,721,689,150,674,684,123,434,438,0,171
"172","Lowell Precinct 2",1377,738,0.53,331,370,29,327,360,34,282,394,41,322,382,20,275,422,20,307,371,32,292,372,33,482,609,126,443,621,103,452,614,101,431,607,88,279,369,0,172
"173","Lowell Charter Township Precinct 1",2438,1661,0.68,595,991,55,587,974,53,524,996,76,604,1003,31,521,1054,29,557,983,50,535,999,44,964,1682,205,919,1598,187,922,1610,170,869,1590,157,515,977,0,173
"174","Lowell Charter Township Precinct 2",2269,1350,0.59,571,693,75,557,692,65,517,702,87,566,724,41,507,759,35,524,707,69,516,703,57,894,1134,243,855,1134,208,858,1125,214,825,1110,181,483,731,0,174
"175","Nelson Township Precinct 1",2306,1112,0.48,395,656,52,394,635,54,337,659,77,390,679,29,332,701,52,346,675,32,354,693,0,559,1060,204,551,1065,133,548,1072,125,528,1040,117,0,773,0,175
"176","Nelson Township Precinct 2",1580,968,0.61,331,592,29,316,596,23,275,614,37,296,632,17,263,646,20,266,624,16,265,636,0,470,1021,115,430,1008,106,441,1000,102,415,981,88,0,663,0,176
"177","Oakfield Township Precinct 1",1557,983,0.63,397,547,30,385,551,29,323,578,46,373,581,20,330,601,30,350,576,27,328,608,0,589,913,153,567,893,124,574,879,136,541,871,114,326,548,0,177
"178","Oakfield Township Precinct 2",1812,1080,0.59,389,646,30,368,655,35,316,670,56,363,676,28,328,674,49,343,682,22,336,704,0,593,1071,186,578,1059,141,572,1061,133,533,1064,125,338,633,0,178
"179","Oakfield Township Precinct 3",1321,783,0.59,313,435,28,298,430,26,251,458,41,304,450,11,259,460,25,260,458,24,268,466,0,485,751,109,443,755,93,476,721,82,436,730,68,256,424,0,179
"180","Plainfield Charter Township Precinct 1",2614,1944,0.74,793,1076,52,776,1052,61,684,1094,84,791,1085,38,674,1169,44,726,1114,35,687,1168,0,1230,1842,248,1128,1846,213,1165,1804,184,1094,1785,176,712,1051,0,180
"181","Plainfield Charter Township Precinct 2",2249,1437,0.63,608,767,47,577,773,46,503,808,58,579,803,33,519,835,30,525,810,35,527,836,0,921,1342,199,845,1287,169,871,1285,148,819,1256,144,522,749,0,181
"182","Plainfield Charter Township Precinct 3",2112,1215,0.57,596,543,59,581,545,54,502,578,72,561,585,48,543,592,42,532,583,40,547,612,0,917,876,253,868,894,214,890,874,204,855,861,181,541,555,0,182
"183","Plainfield Charter Township Precinct 4",2300,1467,0.63,714,686,49,683,699,43,611,726,67,685,722,24,607,780,29,614,741,37,623,771,0,1097,1199,228,998,1184,185,1029,1150,165,962,1164,138,613,676,0,183
"184","Plainfield Charter Township Precinct 5",2123,1393,0.65,671,643,66,659,641,61,579,666,92,632,693,43,596,724,38,597,689,45,600,737,0,1043,1098,239,1008,1080,184,1027,1056,171,983,1065,159,575,681,0,184
"185","Plainfield Charter Township Precinct 6",3012,2043,0.67,814,1149,63,773,1172,52,672,1204,105,757,1212,44,697,1241,51,765,1174,38,690,1266,0,1242,2013,291,1141,1983,255,1196,1955,226,1086,1941,215,714,1143,0,185
"186","Plainfield Charter Township Precinct 7",2717,1948,0.71,810,1084,41,799,1091,28,697,1138,58,785,1129,22,694,1167,42,700,1150,32,678,1206,0,1329,1977,181,1197,2013,140,1274,1949,142,1155,1974,134,686,1077,0,186
"187","Plainfield Charter Township Precinct 8",2819,1909,0.67,925,905,59,890,897,76,811,920,104,908,942,38,795,1022,37,812,958,49,821,1004,0,1447,1561,275,1365,1548,239,1397,1497,228,1324,1505,206,841,866,0,187
"188","Plainfield Charter Township Precinct 9",2445,1611,0.65,714,832,50,676,863,48,599,892,76,685,868,40,593,950,34,630,881,41,609,925,0,1060,1466,252,1020,1465,186,1016,1439,190,974,1411,166,627,814,0,188
"189","Plainfield Charter Township Precinct 10",1777,1345,0.75,559,743,34,539,735,41,471,769,58,536,773,23,476,798,29,525,749,27,492,788,0,841,1274,186,764,1274,151,794,1270,134,754,1258,112,507,721,0,189
"190","Plainfield Charter Township Precinct 11",1706,1286,0.75,539,697,43,510,708,47,458,735,61,517,740,21,453,778,26,491,740,26,462,789,0,863,1212,187,799,1204,173,831,1208,150,759,1180,146,483,709,0,190
"191","Rockford Precinct 1",1866,1204,0.64,591,564,35,566,560,35,519,578,55,584,579,21,511,623,27,558,576,19,550,583,0,914,942,174,870,946,122,905,912,117,834,929,106,539,511,0,191
"192","Rockford Precinct 2",2510,1730,0.68,826,829,59,798,813,65,723,860,75,813,859,31,709,926,37,799,828,39,741,883,0,1342,1420,178,1166,1389,188,1203,1351,172,1116,1334,159,728,804,0,192
"193","Solon Township Precinct 1",1814,1095,0.6,388,648,44,382,645,42,320,677,54,381,671,24,340,683,34,339,680,32,360,683,0,564,1099,167,544,1105,112,553,1061,137,527,1053,123,0,781,0,193
"194","Solon Township Precinct 2",2765,1630,0.58,532,1013,69,523,994,79,440,1034,103,507,1054,51,437,1085,66,466,1047,48,487,1061,0,769,1638,317,753,1633,240,745,1615,238,735,1588,207,0,1206,0,194
"195","Sparta Township Precinct 1",2898,1650,0.56,691,832,101,662,824,102,571,845,154,673,883,65,596,903,77,621,870,60,647,903,0,1016,1336,361,991,1309,282,1023,1288,260,951,1281,260,555,921,0,195
"196","Sparta Township Precinct 2",1516,912,0.6,302,576,26,292,569,27,237,593,50,307,573,21,247,608,33,254,598,19,261,602,0,435,958,147,421,930,122,428,938,104,405,922,103,223,600,0,196
"197","Sparta Township Precinct 3",1969,1135,0.57,408,660,52,378,661,49,319,687,69,404,676,27,321,738,37,339,709,29,350,720,0,579,1097,196,551,1080,151,573,1054,157,538,1047,132,300,735,0,197
"198","Spencer Township Precinct 1",2952,1803,0.61,628,1096,65,583,1105,66,519,1122,89,608,1112,45,509,1155,59,522,1133,48,524,1165,0,907,1835,259,855,1811,214,877,1778,211,834,1764,175,0,1274,0,198
"199","Tyrone Township Precinct 1",1760,1063,0.6,322,684,46,323,665,51,267,677,80,316,696,39,280,697,48,283,695,30,310,697,0,487,1098,198,491,1084,142,485,1085,125,452,1076,127,0,775,0,199
"200","Tyrone Township Precinct 2",1401,819,0.58,273,516,20,260,512,22,217,534,35,261,517,25,228,542,19,231,538,13,247,536,0,405,846,123,387,849,84,396,831,85,362,838,72,0,597,0,200
"201","Vergennes Township Precinct 1",1870,1365,0.72,463,851,37,439,849,39,408,857,54,473,856,17,399,891,30,407,863,26,401,874,29,728,1463,154,656,1427,156,684,1423,138,642,1400,124,405,817,0,201
"202","Vergennes Township Precinct 2",1653,1167,0.7,443,683,28,419,689,28,376,696,57,424,707,14,357,748,19,387,700,27,377,705,34,700,1170,134,628,1147,129,654,1137,123,614,1115,107,374,666,0,202
"203","Walker Ward 1 Precinct 1",2037,997,0.48,586,352,51,571,349,53,530,362,70,556,386,37,576,374,22,542,371,40,567,385,0,934,590,210,902,589,161,925,575,141,875,578,131,557,357,0,203
"204","Walker Ward 1 Precinct 2",1733,1176,0.67,533,593,36,532,582,33,443,631,62,521,606,32,483,649,15,472,619,29,464,657,0,835,1004,168,804,1017,124,820,990,142,765,1003,115,480,574,0,204
"205","Walker Ward 1 Precinct 3",1996,1316,0.65,673,575,55,642,580,62,574,619,75,633,627,35,621,629,23,587,615,35,612,635,0,1058,990,220,975,1004,164,985,984,166,943,970,148,583,592,0,205
"206","Walker Ward 2 Precinct 4",2243,1567,0.69,624,902,31,616,870,40,534,907,54,612,904,29,590,922,21,557,896,28,549,951,0,975,1470,194,887,1450,161,912,1424,167,836,1405,147,527,875,0,206
"207","Walker Ward 2 Precinct 5",1904,1341,0.7,566,720,44,534,722,44,443,771,69,541,754,24,523,768,11,472,765,35,478,792,0,814,1239,166,777,1220,123,794,1200,123,751,1183,116,452,735,0,207
"208","Walker Ward 2 Precinct 6",1880,1193,0.63,510,611,52,496,605,56,420,643,69,497,634,40,479,640,28,440,626,44,451,658,0,787,1025,184,738,1040,147,747,1023,136,705,1020,130,421,617,0,208
"209","Walker Ward 3 Precinct 7",1966,1352,0.68,631,645,56,605,651,48,542,671,74,578,707,31,578,702,22,561,675,34,550,719,0,987,1088,189,898,1078,155,914,1058,158,866,1068,134,542,656,0,209
"210","Walker Ward 3 Precinct 8",1759,1268,0.72,446,772,34,433,766,37,377,801,49,439,793,17,423,807,13,400,783,26,396,812,0,685,1343,156,621,1339,120,670,1312,108,584,1313,110,375,779,0,210
"211","Walker Ward 3 Precinct 9",1981,1274,0.64,595,632,40,583,626,42,522,649,64,566,661,32,573,667,11,552,654,25,560,664,0,944,1099,175,884,1088,163,936,1070,134,868,1074,125,512,656,0,211
"212","Wyoming Ward 1 Precinct 1",1870,915,0.48,534,341,32,503,353,43,462,359,60,508,359,35,502,364,32,490,359,33,428,424,34,800,568,160,779,568,124,796,556,121,755,567,101,487,365,34,212
"213","Wyoming Ward 1 Precinct 2",1311,535,0.4,302,192,33,302,186,28,276,186,47,302,198,23,296,205,14,297,189,21,246,248,21,464,287,108,469,295,69,455,289,73,459,287,55,292,194,21,213
"214","Wyoming Ward 1 Precinct 3",2130,940,0.44,576,315,41,555,315,43,494,331,77,536,350,40,539,350,25,520,336,37,483,385,34,835,524,164,825,519,127,820,510,124,793,529,104,525,325,0,214
"215","Wyoming Ward 1 Precinct 4",2019,1071,0.53,548,479,36,544,461,34,494,469,60,541,478,36,528,486,25,503,484,31,466,536,28,820,781,172,790,771,134,810,769,122,766,759,124,515,451,0,215
"216","Wyoming Ward 1 Precinct 5",2086,1037,0.49,575,394,52,588,377,47,518,412,69,559,416,42,568,422,26,550,400,29,482,488,39,898,643,172,888,646,119,899,618,132,836,637,116,551,385,0,216
"217","Wyoming Ward 1 Precinct 6",1502,729,0.48,411,265,44,422,254,33,371,274,57,408,282,27,407,275,28,392,276,23,338,338,34,664,425,146,663,432,118,680,413,113,655,424,98,395,262,36,217
"218","Wyoming Ward 1 Precinct 7",1890,1143,0.6,482,612,43,475,617,32,436,609,70,482,635,13,477,623,22,447,622,30,383,698,33,766,1064,142,739,1055,107,764,1047,99,715,1026,95,435,606,0,218
"219","Wyoming Ward 1 Precinct 8",1230,576,0.46,288,254,27,276,248,35,255,258,40,273,279,16,271,266,16,270,259,22,250,282,25,431,384,100,411,383,87,417,370,90,398,372,78,288,230,22,219
"220","Wyoming Ward 1 Precinct 9",2268,1029,0.45,594,368,50,590,348,60,515,378,93,562,391,60,566,390,32,545,382,41,503,435,46,907,598,188,901,614,163,912,607,155,880,623,139,573,365,41,220
"221","Wyoming Ward 2 Precinct 10",1478,665,0.44,396,231,30,402,226,26,376,226,42,395,237,25,390,238,17,394,230,15,363,252,27,608,377,132,598,382,95,596,374,98,590,373,80,387,230,0,221
"222","Wyoming Ward 2 Precinct 11",1351,568,0.42,376,152,37,373,152,29,341,157,41,361,173,25,371,165,15,359,160,23,334,186,26,558,252,128,560,245,93,558,238,100,560,242,75,364,155,0,222
"223","Wyoming Ward 2 Precinct 12",1280,508,0.39,301,171,26,301,172,20,277,173,38,287,178,26,290,184,12,288,173,24,264,196,26,450,285,106,454,285,73,460,293,73,446,284,63,301,165,0,223
"224","Wyoming Ward 2 Precinct 13",1666,873,0.52,453,364,47,447,366,41,417,376,55,430,398,31,440,399,13,429,394,20,404,415,29,670,597,171,677,600,115,678,594,109,655,596,104,437,368,0,224
"225","Wyoming Ward 2 Precinct 14",1166,666,0.57,299,329,28,293,330,29,254,338,51,285,353,19,281,358,13,272,346,22,234,386,29,447,567,117,420,580,95,441,558,89,417,577,71,276,348,0,225
"226","Wyoming Ward 2 Precinct 15",968,530,0.54,279,219,25,272,220,24,247,219,42,263,240,15,262,237,10,259,220,19,231,256,18,408,377,117,399,368,86,415,366,69,404,366,66,257,219,22,226
"227","Wyoming Ward 2 Precinct 16",1352,771,0.57,373,355,35,353,362,31,328,360,48,330,393,30,333,394,18,318,375,34,293,399,46,540,627,129,518,619,106,533,609,95,507,604,89,324,362,0,227
"228","Wyoming Ward 2 Precinct 17",1923,793,0.41,503,252,33,485,250,34,443,255,58,464,276,36,479,273,11,459,268,26,451,278,30,764,430,144,753,435,90,766,412,90,761,424,72,471,248,0,228
"229","Wyoming Ward 2 Precinct 18",1211,667,0.55,359,276,26,340,275,30,311,289,38,336,295,26,340,299,13,314,291,23,281,325,30,536,443,110,510,449,85,519,433,89,507,437,76,0,424,0,229
"230","Wyoming Ward 2 Precinct 19",1853,1047,0.56,563,420,53,553,426,46,515,433,58,531,453,44,544,448,19,518,437,38,466,500,46,885,691,171,858,701,148,869,690,130,830,682,128,0,649,0,230
"231","Wyoming Ward 2 Precinct 20",1939,1002,0.51,527,408,54,544,379,58,464,415,85,534,414,34,517,434,22,496,408,48,433,484,48,817,618,219,805,641,155,816,626,146,769,637,151,0,642,0,231
"232","Wyoming Ward 3 Precinct 21",2306,1266,0.54,585,606,54,602,578,39,517,618,70,570,632,29,571,629,24,550,615,27,480,695,33,922,993,211,884,987,152,892,973,151,835,988,126,0,861,0,232
"233","Wyoming Ward 3 Precinct 22",1327,781,0.58,390,352,27,383,357,23,336,370,46,388,360,21,362,384,16,355,362,15,308,415,20,567,621,115,575,606,89,583,601,81,571,588,76,0,511,0,233
"234","Wyoming Ward 3 Precinct 23",2223,1060,0.47,607,390,52,582,401,53,541,421,65,575,414,50,579,429,19,556,398,48,519,453,48,943,668,204,890,698,153,910,671,153,891,664,127,0,662,0,234
"235","Wyoming Ward 3 Precinct 24",2330,1202,0.51,595,547,45,586,531,54,516,566,76,571,572,36,562,582,21,528,571,44,493,606,50,910,928,206,877,913,172,867,911,168,855,906,135,0,788,0,235
"236","Wyoming Ward 3 Precinct 25",1673,1175,0.7,453,681,30,444,675,30,394,704,34,442,704,15,439,695,11,415,692,22,353,748,32,728,1190,140,646,1187,125,664,1171,121,619,1158,102,0,833,0,236
"237","Wyoming Ward 3 Precinct 26",1254,791,0.63,386,371,25,364,388,21,334,393,43,378,386,11,361,402,7,346,389,17,301,439,20,610,681,83,578,653,77,586,646,70,560,649,63,0,527,0,237
