TOTALS: 7 of 7 Precincts ,RegisteredVoters,BallotsCast,Turnout,Yes,No
Totals,11357,4093,36%,2318,1535
Kentwood  Ward 1  Precinct 1,2072,1009,48%,531,417
Kentwood  Ward 1  Precinct 4,1385,654,47%,395,213
Kentwood  Ward 1  Precinct 5,1192,647,54%,362,255
Wyoming  Ward 1  Precinct 5,2086,477,22%,260,190
Wyoming  Ward 1  Precinct 6,1502,729,48%,426,270
Wyoming  Ward 1  Precinct 7,1890,143,7%,89,39
Wyoming  Ward 1  Precinct 8,1230,434,35%,255,151
