TOTALS: 2 of 2 Precincts ,RegisteredVoters,BallotsCast,Turnout,"RobynBritton (REP)
",WriteIn
Totals,3886,2080,53%,1551,70
Nelson Township Precinct 1,2306,1112,48%,832,45
Nelson Township Precinct 2,1580,968,61%,719,25
