TOTALS: 252 of 252 Precincts ,Registered Voters,Ballots Cast,Turnout,Mary Treder Lang (REP),Jocelyn Benson (DEM),Gregory Scott Stempfle (LIB),Robert Gale (UST),Write In
Grand Rapids Ward 1 Precinct 21,1827,1363,74%,696,604,30,7,0
Grand Rapids Ward 1 Precinct 22,747,238,31%,36,189,3,3,0
Grand Rapids Ward 1 Precinct 23,1820,1338,73%,656,616,24,3,1
Grand Rapids Ward 1 Precinct 24,1782,479,26%,35,403,11,9,2
Grand Rapids Ward 2 Precinct 25,1324,797,60%,120,631,27,7,0
Grand Rapids Ward 2 Precinct 26,1710,1009,59%,312,642,26,3,2
Grand Rapids Ward 2 Precinct 27,1297,757,58%,191,511,30,11,1
Grand Rapids Ward 2 Precinct 28,2027,1159,57%,300,772,43,18,2
Grand Rapids Ward 2 Precinct 29,1926,806,41%,162,573,28,18,1
Grand Rapids Ward 2 Precinct 30,1694,1248,73%,327,863,32,7,1
Grand Rapids Ward 2 Precinct 31,2277,1205,52%,306,796,56,12,1
Grand Rapids Ward 2 Precinct 32,1428,746,52%,159,538,33,3,0
Grand Rapids Ward 2 Precinct 33,1072,742,69%,152,548,20,2,0
Grand Rapids Ward 2 Precinct 34,2128,1248,58%,355,825,29,9,0
Grand Rapids Ward 2 Precinct 35,1960,1356,69%,526,770,22,9,0
Grand Rapids Ward 2 Precinct 36,1025,560,54%,177,332,18,10,2
Grand Rapids Ward 2 Precinct 37,2460,1635,66%,589,949,39,15,2
Grand Rapids Ward 2 Precinct 38,2774,1449,52%,355,979,47,16,3
Grand Rapids Ward 2 Precinct 39,1064,600,56%,74,485,24,7,0
Grand Rapids Ward 2 Precinct 40,1864,1218,65%,186,972,38,2,0
"


                Grand Rapids Ward 2 Precinct 41*
*

Ward 2, Precinct 41
Election day ballots cast at the Ward 2, Precinct 41 polling place were uploaded into the reporting system twice. The actual number of total ballots cast in this precinct was 1,541, a 62.2% turnout. The error did not change the outcome of any candidate races or ballot proposals. Numbers shown on this webpage are certified and cannot be altered.

×


",2477,2771,111%,1007,1569,86,24,8
