TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,MarkA.Trusock,ChristopherP.Yates,WriteIn
Grand Rapids  Ward 2  Precinct 29,1926,806,41%,417,458,16
Grand Rapids  Ward 2  Precinct 30,1694,1248,73%,667,697,10
Grand Rapids  Ward 2  Precinct 31,2277,1205,52%,585,641,21
Grand Rapids  Ward 2  Precinct 32,1428,746,52%,385,399,10
Grand Rapids  Ward 2  Precinct 33,1072,742,69%,370,389,19
Grand Rapids  Ward 2  Precinct 34,2128,1247,58%,706,719,27
Grand Rapids  Ward 2  Precinct 35,1960,1356,69%,801,817,19
Grand Rapids  Ward 2  Precinct 36,1025,560,54%,311,327,13
Grand Rapids  Ward 2  Precinct 37,2460,1635,66%,892,951,16
Grand Rapids  Ward 2  Precinct 38,2774,1449,52%,700,764,43
Grand Rapids  Ward 2  Precinct 39,1064,600,56%,271,314,8
Grand Rapids  Ward 2  Precinct 40,1864,1218,65%,579,659,27
"

Grand Rapids  Ward 2  Precinct  41*
*

Ward 2, Precinct 41
Election day ballots cast at the Ward 2, Precinct 41 polling place were uploaded into the reporting system twice. The actual number of total ballots cast in this precinct was 1,541, a 62.2% turnout. The error did not change the outcome of any candidate races or ballot proposals. Numbers shown on this webpage are certified and cannot be altered.

×


",2477,2771,111%,1608,1598,42
Grand Rapids  Ward 2  Precinct 42,1918,1359,70%,746,750,11
Grand Rapids  Ward 2  Precinct 43,1741,1142,65%,630,652,8
Grand Rapids  Ward 2  Precinct 44,1887,1259,66%,780,808,12
Grand Rapids  Ward 2  Precinct 45,2124,1495,70%,892,945,16
Grand Rapids  Ward 2  Precinct 46,2268,1248,55%,742,773,23
Grand Rapids  Ward 2  Precinct 47,1676,1275,76%,738,790,6
Grand Rapids  Ward 2  Precinct 48,1482,839,56%,445,458,15
Grand Rapids  Ward 2  Precinct 49,2046,1136,55%,517,578,29
Grand Rapids  Ward 2  Precinct 50,2306,1432,62%,697,817,20
Grand Rapids  Ward 3  Precinct 51,1724,885,51%,483,541,29
Grand Rapids  Ward 3  Precinct 52,915,521,56%,248,311,15
Grand Rapids  Ward 3  Precinct 53,2863,1739,60%,1025,1103,12
Grand Rapids  Ward 3  Precinct 54,1502,1022,68%,571,624,18
Grand Rapids  Ward 3  Precinct 55,2164,1449,66%,813,888,18
Grand Rapids  Ward 3  Precinct 56,2007,1289,64%,772,823,9
Grand Rapids  Ward 3  Precinct 57,1234,805,65%,469,499,5
Grand Rapids  Ward 3  Precinct 58,1771,1130,63%,672,699,20
Grand Rapids  Ward 3  Precinct 59,2393,1610,67%,887,974,16
Grand Rapids  Ward 3  Precinct 60,2375,1329,55%,669,752,30
Grand Rapids  Ward 3  Precinct 61,899,571,63%,301,323,6
Grand Rapids  Ward 3  Precinct 62,1823,851,46%,440,527,18
Grand Rapids  Ward 3  Precinct 63,1860,891,47%,460,553,10
Grand Rapids  Ward 3  Precinct 64,1984,885,44%,456,527,26
Grand Rapids  Ward 3  Precinct 65,2000,965,48%,525,587,22
Grand Rapids  Ward 3  Precinct 66,2363,819,34%,341,454,43
Grand Rapids  Ward 3  Precinct 67,2799,1032,36%,494,602,36
Grand Rapids  Ward 3  Precinct 68,1642,1135,69%,583,677,25
Grand Rapids  Ward 3  Precinct 69,1359,983,72%,560,595,10
Grand Rapids  Ward 3  Precinct 70,1791,660,36%,265,373,43
Grand Rapids  Ward 3  Precinct 71,1695,957,56%,463,519,33
Grand Rapids  Ward 3  Precinct 72,871,603,69%,319,330,7
Grand Rapids  Ward 3  Precinct 73,1165,766,65%,405,436,14
Grand Rapids  Ward 3  Precinct 74,1371,808,58%,422,466,19
Grand Rapids  Ward 3  Precinct 75,1209,602,49%,314,350,12
Grand Rapids  Ward 3  Precinct 76,1577,653,41%,296,385,27
Grand Rapids  Ward 3  Precinct 77,1291,916,70%,514,548,12
Grand Rapids Charter Township  Precinct 1,1513,1075,71%,604,666,10
Grand Rapids Charter Township  Precinct 2,1016,738,72%,456,430,12
Grand Rapids Charter Township  Precinct 3,1812,1358,74%,798,866,13
Grand Rapids Charter Township  Precinct 4,1733,1263,72%,775,782,19
Grand Rapids Charter Township  Precinct 5,1863,1364,73%,768,804,19
Grand Rapids Charter Township  Precinct 6,1720,1276,74%,742,723,23
Grand Rapids Charter Township  Precinct 7,1043,669,64%,351,379,12
Grand Rapids Charter Township  Precinct 8,1783,1300,72%,760,762,27
Grand Rapids Charter Township  Precinct 9,1156,892,77%,529,538,11
Grandville  Precinct 1,1577,1029,65%,654,611,15
Grandville  Precinct 2,2014,1232,61%,723,757,14
Grandville  Precinct 3,2197,1391,63%,840,800,15
Grandville  Precinct 4,1979,1483,74%,932,963,6
Grandville  Precinct 5,2147,1489,69%,943,893,18
Grandville  Precinct 6,1655,1182,71%,666,720,16
Grattan Township  Precinct 1,1502,993,66%,637,574,7
Grattan Township  Precinct 2,1598,1133,70%,638,691,8
Kentwood  Ward 1  Precinct 1,2072,1009,48%,638,631,13
Kentwood  Ward 1  Precinct 2,2787,1711,61%,1049,1060,32
Kentwood  Ward 1  Precinct 3,1524,971,63%,601,605,14
Kentwood  Ward 1  Precinct 4,1385,654,47%,354,402,15
Kentwood  Ward 1  Precinct 5,1192,647,54%,381,386,12
Kentwood  Ward 1  Precinct 6,2226,1085,48%,636,697,10
Kentwood  Ward 1  Precinct 7,1944,1075,55%,629,650,24
Kentwood  Ward 1  Precinct 8,2348,1578,67%,971,1025,22
Kentwood  Ward 1  Precinct 9,2145,1149,53%,668,701,18
Kentwood  Ward 2  Precinct 10,2150,1401,65%,809,860,9
Kentwood  Ward 2  Precinct 11,2803,1759,62%,1084,1082,18
Kentwood  Ward 2  Precinct 12,1551,929,59%,518,573,21
Kentwood  Ward 2  Precinct 13,2030,1207,59%,743,757,8
Kentwood  Ward 2  Precinct 14,787,514,65%,297,325,3
Kentwood  Ward 2  Precinct 15,2618,1231,47%,697,754,32
Kentwood  Ward 2  Precinct 16,2612,1825,69%,1067,1102,26
Kentwood  Ward 2  Precinct 17,1674,765,45%,411,445,14
Kentwood  Ward 2  Precinct 18,2017,1003,49%,531,600,17
Lowell  Precinct 1,1606,965,60%,602,595,11
Lowell  Precinct 2,1377,738,53%,409,447,5
Lowell Charter Township  Precinct 1,2438,1661,68%,991,957,8
Lowell Charter Township  Precinct 2,2269,1350,59%,783,823,23
Nelson Township  Precinct 1,2306,1112,48%,655,592,22
Nelson Township  Precinct 2,1580,968,61%,537,565,25
Oakfield Township  Precinct 1,1557,983,63%,617,584,14
Oakfield Township  Precinct 2,1812,1080,59%,631,681,18
Oakfield Township  Precinct 3 ,1321,783,59%,491,458,18
Plainfield Charter Township  Precinct 1,2614,1944,74%,1137,1098,21
Plainfield Charter Township  Precinct 2,2249,1437,63%,893,823,26
Plainfield Charter Township  Precinct 3,2112,1215,57%,720,741,22
Plainfield Charter Township  Precinct 4,2300,1467,63%,900,861,27
Plainfield Charter Township  Precinct 5,2123,1393,65%,851,844,21
Plainfield Charter Township  Precinct 6,3012,2043,67%,1282,1204,27
Plainfield Charter Township  Precinct 7,2717,1948,71%,1247,1301,18
Plainfield Charter Township  Precinct 8,2819,1909,67%,1177,1119,32
Plainfield Charter Township  Precinct 9,2445,1611,65%,972,1007,13
Plainfield Charter Township  Precinct 10,1777,1345,75%,821,750,18
Plainfield Charter Township  Precinct 11,1706,1286,75%,791,795,17
Rockford  Precinct 1,1866,1204,64%,740,692,5
Rockford  Precinct 2,2510,1730,68%,946,993,17
Solon Township  Precinct 1,1814,1095,60%,707,649,18
Solon Township  Precinct 2,2765,1630,58%,953,993,13
Sparta Township  Precinct 1,2898,1650,56%,1011,944,25
Sparta Township  Precinct 2,1516,912,60%,533,555,6
Sparta Township  Precinct 3,1969,1135,57%,731,665,5
Spencer Township  Precinct 1,2952,1803,61%,1053,1094,29
Tyrone Township  Precinct 1,1760,1063,60%,681,604,16
Tyrone Township  Precinct 2,1401,819,58%,513,511,11
Vergennes Township  Precinct 1,1870,1365,72%,820,773,10
Vergennes Township  Precinct 2,1653,1167,70%,662,717,21
Walker  Ward 1  Precinct 1,2037,997,48%,597,576,24
Walker  Ward 1  Precinct 2,1733,1176,67%,747,729,6
Walker  Ward 1  Precinct 3,1996,1316,65%,839,778,14
Walker  Ward 2  Precinct 4,2243,1567,69%,922,867,4
Walker  Ward 2  Precinct 5,1904,1341,70%,867,751,8
Walker  Ward 2  Precinct 6,1880,1193,63%,719,694,9
Walker  Ward 3  Precinct 7,1966,1352,68%,869,805,18
Walker  Ward 3  Precinct 8,1759,1268,72%,737,771,5
Walker  Ward 3  Precinct 9,1981,1274,64%,802,797,19
Wyoming  Ward 1  Precinct 1,1870,915,48%,531,569,17
Wyoming  Ward 1  Precinct 2,1311,535,40%,316,330,7
Wyoming  Ward 1  Precinct 3,2130,940,44%,518,570,23
Wyoming  Ward 1  Precinct 4,2019,1071,53%,652,624,16
Wyoming  Ward 1  Precinct 5,2086,1037,49%,598,622,16
Wyoming  Ward 1  Precinct 6,1502,729,48%,467,452,21
Wyoming  Ward 1  Precinct 7,1890,1143,60%,691,724,15
Wyoming  Ward 1  Precinct 8,1230,576,46%,337,324,7
Wyoming  Ward 1  Precinct 9,2268,1029,45%,603,654,23
Wyoming  Ward 2  Precinct 10,1478,665,44%,370,403,9
Wyoming  Ward 2  Precinct 11,1351,568,42%,302,322,20
Wyoming  Ward 2  Precinct 12,1280,508,39%,285,301,12
Wyoming  Ward 2  Precinct 13,1666,873,52%,489,538,14
Wyoming  Ward 2  Precinct 14,1166,666,57%,435,395,9
Wyoming  Ward 2  Precinct 15,968,530,54%,306,316,18
Wyoming  Ward 2  Precinct 16,1352,771,57%,456,452,13
Wyoming  Ward 2  Precinct 17,1923,793,41%,412,484,33
Wyoming  Ward 2  Precinct 18,1211,667,55%,420,386,17
Wyoming  Ward 2  Precinct 19,1853,1047,56%,592,626,33
Wyoming  Ward 2  Precinct 20,1939,1002,51%,615,609,28
Wyoming  Ward 3  Precinct 21,2306,1266,54%,715,760,33
Wyoming  Ward 3  Precinct 22,1327,781,58%,473,454,16
Wyoming  Ward 3  Precinct 23,2223,1060,47%,596,625,29
Wyoming  Ward 3  Precinct 24,2330,1202,51%,719,702,17
Wyoming  Ward 3  Precinct 25,1673,1175,70%,672,689,23
Wyoming  Ward 3  Precinct 26,1254,791,63%,483,466,20
Wyoming  Ward 3  Precinct 27,1233,767,62%,426,448,15
Wyoming  Ward 3  Precinct 28,1984,1344,67%,838,814,26
Wyoming  Ward 3  Precinct 29,1566,1104,70%,646,697,20
Wyoming  Ward 3  Precinct 30,1989,1405,70%,890,802,22
