TOTALS: 2 of 2 Precincts ,RegisteredVoters,BallotsCast,Turnout,"Janine
Mork (REP)
",WriteIn
Totals,3523,2532,71%,1921,39
Vergennes Township Precinct 1,1870,1365,72%,1030,16
Vergennes Township Precinct 2,1653,1167,70%,891,23
