TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,Yes,No
Grand Rapids  Ward 2  Precinct 36,1025,560,54%,404,137
Grand Rapids  Ward 2  Precinct 37,2460,1635,66%,1174,409
Grand Rapids  Ward 2  Precinct 38,2774,1449,52%,1165,217
Grand Rapids  Ward 2  Precinct 39,1064,600,56%,527,54
Grand Rapids  Ward 2  Precinct 40,1864,1218,65%,1045,131
"Grand Rapids  Ward 2  Precinct  41*
*

Ward 2, Precinct 41
Election day ballots cast at the Ward 2, Precinct 41 polling place were uploaded into the reporting system twice. The actual number of total ballots cast in this precinct was 1,541, a 62.2% turnout. The error did not change the outcome of any candidate races or ballot proposals. Numbers shown on this webpage are certified and cannot be altered.

×


",2477,2771,111%,1918,749
Grand Rapids  Ward 2  Precinct 42,1918,1359,70%,1013,313
Grand Rapids  Ward 2  Precinct 43,1741,1142,65%,778,326
Grand Rapids  Ward 2  Precinct 44,1887,1259,66%,827,384
Grand Rapids  Ward 2  Precinct 45,2124,1495,70%,964,481
Grand Rapids  Ward 2  Precinct 46,2268,1248,55%,853,339
Grand Rapids  Ward 2  Precinct 47,1676,1275,76%,892,328
Grand Rapids  Ward 2  Precinct 48,1482,840,56%,682,129
Grand Rapids  Ward 2  Precinct 49,2046,1136,55%,973,120
Grand Rapids  Ward 2  Precinct 50,2306,1432,62%,1249,131
Grand Rapids  Ward 3  Precinct 51,1724,885,51%,663,185
Grand Rapids  Ward 3  Precinct 52,915,521,56%,455,36
Grand Rapids  Ward 3  Precinct 53,2863,1739,60%,1131,517
Grand Rapids  Ward 3  Precinct 54,1502,1022,68%,652,319
Grand Rapids  Ward 3  Precinct 55,2164,1449,66%,1023,358
Grand Rapids  Ward 3  Precinct 56,2007,1289,64%,892,346
Grand Rapids  Ward 3  Precinct 57,1234,805,65%,585,179
Grand Rapids  Ward 3  Precinct 58,1771,1130,63%,798,302
Grand Rapids  Ward 3  Precinct 59,2393,1610,67%,1205,352
Grand Rapids  Ward 3  Precinct 60,2375,1329,55%,1149,132
Grand Rapids  Ward 3  Precinct 61,899,571,63%,456,83
Grand Rapids  Ward 3  Precinct 62,1823,851,46%,697,117
Grand Rapids  Ward 3  Precinct 63,1860,891,47%,736,103
Grand Rapids  Ward 3  Precinct 64,1984,885,44%,679,138
Grand Rapids  Ward 3  Precinct 65,2000,965,48%,679,220
Grand Rapids  Ward 3  Precinct 66,2363,819,34%,711,83
Grand Rapids  Ward 3  Precinct 67,2799,1032,36%,895,88
Grand Rapids  Ward 3  Precinct 68,1642,1135,69%,921,177
Grand Rapids  Ward 3  Precinct 69,1359,983,72%,594,335
Grand Rapids  Ward 3  Precinct 70,1791,660,36%,550,72
