TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,SamuelBagenstos,MeganKathleenCavanagh,ElizabethT.Clement,DougDern,KerryLeeMorgan,KurtisT.Wilder,WriteIn
Grand Rapids  Ward 1  Precinct 10,1757,1061,60%,235,456,491,41,85,310,4
Grand Rapids  Ward 1  Precinct 11,819,634,77%,91,238,321,34,52,238,6
Grand Rapids  Ward 1  Precinct 12,1895,732,38%,145,269,301,42,69,177,17
Grand Rapids  Ward 1  Precinct 13,2150,940,43%,197,337,343,67,124,263,17
Grand Rapids  Ward 1  Precinct 14,2101,1271,60%,235,499,523,29,164,442,11
Grand Rapids  Ward 1  Precinct 15,2003,573,28%,153,232,239,25,60,156,13
Grand Rapids  Ward 1  Precinct 16,2074,678,32%,135,259,291,32,91,152,4
Grand Rapids  Ward 1  Precinct 17,2352,1170,49%,187,488,515,62,107,331,19
Grand Rapids  Ward 1  Precinct 18,1152,438,38%,83,147,185,18,82,96,19
Grand Rapids  Ward 1  Precinct 19,2134,990,46%,178,383,424,75,134,289,20
Grand Rapids  Ward 1  Precinct 20,2160,1614,74%,250,514,739,40,175,731,19
Grand Rapids  Ward 1  Precinct 21,1827,1363,74%,212,427,658,38,58,677,8
Grand Rapids  Ward 1  Precinct 22,747,238,31%,39,81,113,13,26,56,6
Grand Rapids  Ward 1  Precinct 23,1820,1338,73%,183,506,708,48,92,520,7
Grand Rapids  Ward 1  Precinct 24,1782,479,26%,75,137,194,25,89,107,9
Grand Rapids  Ward 2  Precinct 25,1324,797,60%,230,379,275,43,83,178,10
Grand Rapids  Ward 2  Precinct 26,1710,1009,59%,207,381,425,33,125,356,8
Grand Rapids  Ward 2  Precinct 27,1297,757,58%,196,329,289,24,46,236,8
Grand Rapids  Ward 2  Precinct 28,2027,1159,57%,301,538,501,34,84,301,16
Grand Rapids  Ward 2  Precinct 29,1926,806,41%,165,373,355,43,80,165,14
Grand Rapids  Ward 2  Precinct 30,1694,1248,73%,401,546,555,49,89,314,4
Grand Rapids  Ward 2  Precinct 31,2277,1205,52%,287,482,458,78,138,344,9
Grand Rapids  Ward 2  Precinct 32,1428,746,52%,190,311,269,18,79,197,8
Grand Rapids  Ward 2  Precinct 33,1072,742,69%,290,385,260,14,28,178,5
