TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,JaneMarieBeckering,DouglasB.Shapiro,WriteIn
Grand Rapids  Ward 2  Precinct 29,1926,806,41%,484,401,14
Grand Rapids  Ward 2  Precinct 30,1694,1248,73%,757,629,8
Grand Rapids  Ward 2  Precinct 31,2277,1205,52%,709,552,17
Grand Rapids  Ward 2  Precinct 32,1428,746,52%,439,352,10
Grand Rapids  Ward 2  Precinct 33,1072,742,69%,444,361,10
Grand Rapids  Ward 2  Precinct 34,2128,1247,58%,782,644,24
Grand Rapids  Ward 2  Precinct 35,1960,1356,69%,866,785,22
Grand Rapids  Ward 2  Precinct 36,1025,560,54%,345,292,12
Grand Rapids  Ward 2  Precinct 37,2460,1635,66%,970,906,16
Grand Rapids  Ward 2  Precinct 38,2774,1449,52%,852,668,36
Grand Rapids  Ward 2  Precinct 39,1064,600,56%,360,267,9
Grand Rapids  Ward 2  Precinct 40,1864,1218,65%,739,561,26
"


Grand Rapids  Ward 2  Precinct  41*
*

Ward 2, Precinct 41
Election day ballots cast at the Ward 2, Precinct 41 polling place were uploaded into the reporting system twice. The actual number of total ballots cast in this precinct was 1,541, a 62.2% turnout. The error did not change the outcome of any candidate races or ballot proposals. Numbers shown on this webpage are certified and cannot be altered.

×


",2477,2771,111%,1667,1542,52
Grand Rapids  Ward 2  Precinct 42,1918,1359,70%,854,692,11
Grand Rapids  Ward 2  Precinct 43,1741,1142,65%,680,618,6
Grand Rapids  Ward 2  Precinct 44,1887,1259,66%,849,755,11
Grand Rapids  Ward 2  Precinct 45,2124,1495,70%,933,898,18
Grand Rapids  Ward 2  Precinct 46,2268,1248,55%,825,702,24
Grand Rapids  Ward 2  Precinct 47,1676,1275,76%,813,744,3
Grand Rapids  Ward 2  Precinct 48,1482,839,56%,501,415,16
Grand Rapids  Ward 2  Precinct 49,2046,1136,55%,658,508,34
Grand Rapids  Ward 2  Precinct 50,2306,1432,62%,895,714,16
Grand Rapids  Ward 3  Precinct 51,1724,885,51%,578,469,24
Grand Rapids  Ward 3  Precinct 52,915,521,56%,320,252,17
Grand Rapids  Ward 3  Precinct 53,2863,1739,60%,1124,1074,14
Grand Rapids  Ward 3  Precinct 54,1502,1022,68%,657,569,15
Grand Rapids  Ward 3  Precinct 55,2164,1449,66%,914,822,21
Grand Rapids  Ward 3  Precinct 56,2007,1289,64%,858,781,10
Grand Rapids  Ward 3  Precinct 57,1234,805,65%,518,443,6
Grand Rapids  Ward 3  Precinct 58,1771,1130,63%,748,657,17
Grand Rapids  Ward 3  Precinct 59,2393,1610,67%,1059,889,14
Grand Rapids  Ward 3  Precinct 60,2375,1329,55%,842,668,25
Grand Rapids  Ward 3  Precinct 61,899,571,63%,359,288,7
Grand Rapids  Ward 3  Precinct 62,1823,851,46%,556,444,18
Grand Rapids  Ward 3  Precinct 63,1860,891,47%,563,453,13
Grand Rapids  Ward 3  Precinct 64,1984,885,44%,564,437,25
Grand Rapids  Ward 3  Precinct 65,2000,965,48%,625,515,19
Grand Rapids  Ward 3  Precinct 66,2363,819,34%,465,368,37
Grand Rapids  Ward 3  Precinct 67,2799,1032,36%,673,430,30
Grand Rapids  Ward 3  Precinct 68,1642,1135,69%,708,585,16
Grand Rapids  Ward 3  Precinct 69,1359,983,72%,600,570,7
Grand Rapids  Ward 3  Precinct 70,1791,660,36%,408,254,40
Grand Rapids  Ward 3  Precinct 71,1695,957,56%,583,474,31
Grand Rapids  Ward 3  Precinct 72,871,603,69%,366,311,7
Grand Rapids  Ward 3  Precinct 73,1165,766,65%,469,419,10
Grand Rapids  Ward 3  Precinct 74,1371,808,58%,517,394,18
Grand Rapids  Ward 3  Precinct 75,1209,602,49%,401,277,11
Grand Rapids  Ward 3  Precinct 76,1577,653,41%,413,292,23
Grand Rapids  Ward 3  Precinct 77,1291,916,70%,581,510,10
Grand Rapids Charter Township  Precinct 1,1513,1075,71%,656,639,10
Grand Rapids Charter Township  Precinct 2,1016,738,72%,472,424,10
Grand Rapids Charter Township  Precinct 3,1812,1358,74%,886,815,14
Grand Rapids Charter Township  Precinct 4,1733,1263,72%,834,741,21
Grand Rapids Charter Township  Precinct 5,1863,1364,73%,839,779,19
Grand Rapids Charter Township  Precinct 6,1720,1276,74%,789,700,16
Grand Rapids Charter Township  Precinct 7,1043,669,64%,377,365,10
Grand Rapids Charter Township  Precinct 8,1783,1300,72%,821,734,29
Grand Rapids Charter Township  Precinct 9,1156,892,77%,531,536,14
Grandville  Precinct 1,1577,1029,65%,665,601,20
Grandville  Precinct 2,2014,1232,61%,745,727,12
Grandville  Precinct 3,2197,1391,63%,868,764,14
Grandville  Precinct 4,1979,1483,74%,953,959,9
Grandville  Precinct 5,2147,1489,69%,962,872,18
Grandville  Precinct 6,1655,1182,71%,710,702,12
Grattan Township  Precinct 1,1502,993,66%,647,594,4
Grattan Township  Precinct 2,1598,1133,70%,682,663,6
Kentwood  Ward 1  Precinct 1,2072,1009,48%,691,607,13
Kentwood  Ward 1  Precinct 2,2787,1711,61%,1138,1039,26
Kentwood  Ward 1  Precinct 3,1524,971,63%,641,581,11
Kentwood  Ward 1  Precinct 4,1385,654,47%,416,362,12
Kentwood  Ward 1  Precinct 5,1192,647,54%,418,354,12
Kentwood  Ward 1  Precinct 6,2226,1085,48%,701,659,9
Kentwood  Ward 1  Precinct 7,1944,1075,55%,697,602,30
Kentwood  Ward 1  Precinct 8,2348,1578,67%,1058,958,17
Kentwood  Ward 1  Precinct 9,2145,1149,53%,754,613,16
Kentwood  Ward 2  Precinct 10,2150,1401,65%,870,801,13
Kentwood  Ward 2  Precinct 11,2803,1759,62%,1146,1015,15
Kentwood  Ward 2  Precinct 12,1551,929,59%,565,522,24
Kentwood  Ward 2  Precinct 13,2030,1207,59%,806,705,9
Kentwood  Ward 2  Precinct 14,787,514,65%,328,319,2
Kentwood  Ward 2  Precinct 15,2618,1231,47%,793,678,33
Kentwood  Ward 2  Precinct 16,2612,1825,69%,1142,1077,23
Kentwood  Ward 2  Precinct 17,1674,765,45%,456,402,11
Kentwood  Ward 2  Precinct 18,2017,1003,49%,633,524,18
Lowell  Precinct 1,1606,965,60%,654,556,16
Lowell  Precinct 2,1377,738,53%,456,423,4
Lowell Charter Township  Precinct 1,2438,1661,68%,1051,946,10
Lowell Charter Township  Precinct 2,2269,1350,59%,830,778,27
Nelson Township  Precinct 1,2306,1112,48%,655,618,15
Nelson Township  Precinct 2,1580,968,61%,545,567,26
Oakfield Township  Precinct 1,1557,983,63%,616,575,13
Oakfield Township  Precinct 2,1812,1080,59%,662,666,17
Oakfield Township  Precinct 3 ,1321,783,59%,504,447,18
Plainfield Charter Township  Precinct 1,2614,1944,74%,1103,1129,23
Plainfield Charter Township  Precinct 2,2249,1437,63%,939,801,25
Plainfield Charter Township  Precinct 3,2112,1215,57%,786,725,17
Plainfield Charter Township  Precinct 4,2300,1467,63%,953,853,30
Plainfield Charter Township  Precinct 5,2123,1393,65%,883,831,15
Plainfield Charter Township  Precinct 6,3012,2043,67%,1302,1194,22
Plainfield Charter Township  Precinct 7,2717,1948,71%,1309,1261,16
Plainfield Charter Township  Precinct 8,2819,1909,67%,1230,1087,32
Plainfield Charter Township  Precinct 9,2445,1611,65%,980,991,12
Plainfield Charter Township  Precinct 10,1777,1345,75%,817,755,17
Plainfield Charter Township  Precinct 11,1706,1286,75%,786,804,16
Rockford  Precinct 1,1866,1204,64%,752,691,8
Rockford  Precinct 2,2510,1730,68%,1012,971,15
Solon Township  Precinct 1,1814,1095,60%,719,641,15
Solon Township  Precinct 2,2765,1630,58%,975,1013,11
Sparta Township  Precinct 1,2898,1650,56%,1028,945,23
Sparta Township  Precinct 2,1516,912,60%,545,551,6
Sparta Township  Precinct 3,1969,1135,57%,710,683,5
Spencer Township  Precinct 1,2952,1803,61%,1071,1114,26
