TOTALS: 2 of 2 Precincts ,RegisteredVoters,BallotsCast,Turnout,"Heather
Hoffman (REP)
",WriteIn
Totals,3523,2532,71%,1976,41
Vergennes Township Precinct 1,1870,1365,72%,1057,19
Vergennes Township Precinct 2,1653,1167,70%,919,22
