TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,CurtBenson,AlidaBryant,ChristinaElmore,ScottA.Noto,WriteIn
Grand Rapids  Ward 1  Precinct 19,2134,990,46%,313,338,366,255,27
Grand Rapids  Ward 1  Precinct 20,2160,1614,74%,721,499,448,501,25
Grand Rapids  Ward 1  Precinct 21,1827,1363,74%,508,371,428,547,15
Grand Rapids  Ward 1  Precinct 22,747,238,31%,50,95,94,49,10
Grand Rapids  Ward 1  Precinct 23,1820,1338,73%,572,326,348,545,8
Grand Rapids  Ward 1  Precinct 24,1782,479,26%,114,207,204,56,5
Grand Rapids  Ward 2  Precinct 25,1324,797,60%,155,346,365,132,12
Grand Rapids  Ward 2  Precinct 26,1710,1009,59%,306,342,410,266,11
Grand Rapids  Ward 2  Precinct 27,1297,757,58%,249,273,248,191,8
Grand Rapids  Ward 2  Precinct 28,2027,1159,57%,393,470,432,225,17
Grand Rapids  Ward 2  Precinct 29,1926,806,41%,194,332,357,173,11
Grand Rapids  Ward 2  Precinct 30,1694,1248,73%,381,448,537,291,5
Grand Rapids  Ward 2  Precinct 31,2277,1205,52%,344,447,469,255,14
Grand Rapids  Ward 2  Precinct 32,1428,746,52%,196,302,295,122,7
Grand Rapids  Ward 2  Precinct 33,1072,742,69%,167,328,331,135,11
Grand Rapids  Ward 2  Precinct 34,2128,1247,58%,401,439,542,270,24
Grand Rapids  Ward 2  Precinct 35,1960,1356,69%,543,447,485,430,18
Grand Rapids  Ward 2  Precinct 36,1025,560,54%,194,189,200,119,13
Grand Rapids  Ward 2  Precinct 37,2460,1635,66%,500,585,626,439,23
Grand Rapids  Ward 2  Precinct 38,2774,1449,52%,332,496,627,256,40
Grand Rapids  Ward 2  Precinct 39,1064,600,56%,139,271,272,75,5
Grand Rapids  Ward 2  Precinct 40,1864,1218,65%,269,584,537,152,22
"

Grand Rapids  Ward 2  Precinct  41*
*

Ward 2, Precinct 41
Election day ballots cast at the Ward 2, Precinct 41 polling place were uploaded into the reporting system twice. The actual number of total ballots cast in this precinct was 1,541, a 62.2% turnout. The error did not change the outcome of any candidate races or ballot proposals. Numbers shown on this webpage are certified and cannot be altered.

×


",2477,2771,111%,803,980,1044,704,46
Grand Rapids  Ward 2  Precinct 42,1918,1359,70%,425,454,553,345,6
Grand Rapids  Ward 2  Precinct 43,1741,1142,65%,387,375,392,309,10
Grand Rapids  Ward 2  Precinct 44,1887,1259,66%,553,462,448,324,8
Grand Rapids  Ward 2  Precinct 45,2124,1495,70%,595,466,525,470,11
Grand Rapids  Ward 2  Precinct 46,2268,1248,55%,439,382,509,366,22
Grand Rapids  Ward 2  Precinct 47,1676,1275,76%,484,441,471,422,9
Grand Rapids  Ward 2  Precinct 48,1482,840,56%,224,388,345,139,13
Grand Rapids  Ward 2  Precinct 49,2046,1136,55%,219,476,509,188,23
Grand Rapids  Ward 2  Precinct 50,2306,1432,62%,333,629,718,190,21
Grand Rapids  Ward 3  Precinct 51,1724,885,51%,282,358,325,232,17
Grand Rapids  Ward 3  Precinct 52,915,521,56%,106,298,259,54,8
Grand Rapids  Ward 3  Precinct 53,2863,1739,60%,589,591,610,539,13
Grand Rapids  Ward 3  Precinct 54,1502,1022,68%,360,256,404,369,13
Grand Rapids  Ward 3  Precinct 55,2164,1449,66%,518,474,556,417,19
Grand Rapids  Ward 3  Precinct 56,2007,1289,64%,517,516,495,300,9
Grand Rapids  Ward 3  Precinct 57,1234,805,65%,244,299,364,198,5
Grand Rapids  Ward 3  Precinct 58,1771,1130,63%,396,365,471,323,13
Grand Rapids  Ward 3  Precinct 59,2393,1610,67%,522,644,663,386,12
Grand Rapids  Ward 3  Precinct 60,2375,1329,55%,353,657,655,156,18
Grand Rapids  Ward 3  Precinct 61,899,571,63%,144,234,258,96,10
Grand Rapids  Ward 3  Precinct 62,1823,851,46%,244,345,431,147,16
Grand Rapids  Ward 3  Precinct 63,1860,891,47%,252,426,407,126,10
Grand Rapids  Ward 3  Precinct 64,1984,885,44%,241,359,363,177,18
Grand Rapids  Ward 3  Precinct 65,2000,965,48%,249,385,447,227,11
Grand Rapids  Ward 3  Precinct 66,2363,819,34%,174,391,369,90,26
Grand Rapids  Ward 3  Precinct 67,2799,1032,36%,256,492,513,95,19
Grand Rapids  Ward 3  Precinct 68,1642,1135,69%,315,568,517,134,16
Grand Rapids  Ward 3  Precinct 69,1359,983,72%,323,301,379,322,3
Grand Rapids  Ward 3  Precinct 70,1791,660,36%,158,291,309,67,28
Grand Rapids  Ward 3  Precinct 71,1695,957,56%,239,450,412,161,23
Grand Rapids  Ward 3  Precinct 72,871,603,69%,173,272,233,85,4
Grand Rapids  Ward 3  Precinct 73,1165,766,65%,208,296,331,169,11
Grand Rapids  Ward 3  Precinct 74,1371,808,58%,220,288,352,171,16
Grand Rapids  Ward 3  Precinct 75,1209,602,49%,155,290,264,87,10
Grand Rapids  Ward 3  Precinct 76,1577,653,41%,131,319,306,60,23
Grand Rapids  Ward 3  Precinct 77,1291,916,70%,257,358,405,200,11
Grand Rapids Charter Township  Precinct 1,1513,1075,71%,360,325,376,343,7
Grand Rapids Charter Township  Precinct 2,1016,738,72%,261,180,281,239,7
Grand Rapids Charter Township  Precinct 3,1812,1358,74%,568,408,429,461,7
Grand Rapids Charter Township  Precinct 4,1733,1263,72%,504,395,475,351,28
Grand Rapids Charter Township  Precinct 5,1863,1364,73%,472,429,486,399,16
Grand Rapids Charter Township  Precinct 6,1720,1276,74%,465,353,491,379,16
Grand Rapids Charter Township  Precinct 7,1043,669,64%,253,168,197,202,9
Grand Rapids Charter Township  Precinct 8,1783,1300,72%,536,394,445,372,13
Grand Rapids Charter Township  Precinct 9,1156,892,77%,341,200,286,343,13
Grandville  Precinct 1,1577,1029,65%,331,239,410,342,14
Grandville  Precinct 2,2014,1232,61%,457,327,371,428,16
Grandville  Precinct 3,2197,1391,63%,589,375,400,412,15
Grandville  Precinct 4,1979,1483,74%,557,390,502,544,2
Grandville  Precinct 5,2147,1489,69%,549,303,526,559,28
Grandville  Precinct 6,1655,1182,71%,486,246,282,488,14
Grattan Township  Precinct 1,1502,993,66%,398,197,349,378,4
Grattan Township  Precinct 2,1598,1133,70%,485,277,298,401,8
Kentwood  Ward 1  Precinct 1,2072,1009,48%,433,360,333,292,11
Kentwood  Ward 1  Precinct 2,2787,1711,61%,557,593,710,542,24
Kentwood  Ward 1  Precinct 3,1524,971,63%,311,270,396,352,10
Kentwood  Ward 1  Precinct 4,1385,654,47%,210,224,224,190,9
Kentwood  Ward 1  Precinct 5,1192,647,54%,252,195,186,184,8
Kentwood  Ward 1  Precinct 6,2226,1085,48%,360,375,419,331,8
Kentwood  Ward 1  Precinct 7,1944,1075,55%,331,336,457,309,20
Kentwood  Ward 1  Precinct 8,2348,1578,67%,601,499,557,586,15
Kentwood  Ward 1  Precinct 9,2145,1149,53%,414,402,447,284,10
Kentwood  Ward 2  Precinct 10,2150,1401,65%,402,473,544,465,17
Kentwood  Ward 2  Precinct 11,2803,1759,62%,514,546,728,579,24
Kentwood  Ward 2  Precinct 12,1551,929,59%,277,348,352,252,16
Kentwood  Ward 2  Precinct 13,2030,1207,59%,488,411,384,329,8
Kentwood  Ward 2  Precinct 14,787,514,65%,167,165,204,181,4
Kentwood  Ward 2  Precinct 15,2618,1231,47%,362,450,545,317,27
Kentwood  Ward 2  Precinct 16,2612,1825,69%,651,523,585,645,19
Kentwood  Ward 2  Precinct 17,1674,765,45%,252,288,298,146,10
Kentwood  Ward 2  Precinct 18,2017,1003,49%,239,369,422,236,17
Lowell  Precinct 1,1606,965,60%,332,276,401,274,17
Lowell  Precinct 2,1377,738,53%,288,204,210,246,6
Lowell Charter Township  Precinct 1,2438,1661,68%,716,446,525,496,11
Lowell Charter Township  Precinct 2,2269,1350,59%,438,417,473,404,15
Nelson Township  Precinct 1,2306,1112,48%,414,253,361,359,22
Nelson Township  Precinct 2,1580,968,61%,432,200,245,357,19
Oakfield Township  Precinct 1,1557,983,63%,437,278,300,291,17
Oakfield Township  Precinct 2,1812,1080,59%,469,298,331,386,15
Oakfield Township  Precinct 3 ,1321,783,59%,286,185,284,251,15
Plainfield Charter Township  Precinct 1,2614,1944,74%,779,494,547,690,18
Plainfield Charter Township  Precinct 2,2249,1437,63%,640,377,433,416,22
Plainfield Charter Township  Precinct 3,2112,1215,57%,432,423,465,335,19
Plainfield Charter Township  Precinct 4,2300,1467,63%,553,362,570,474,28
Plainfield Charter Township  Precinct 5,2123,1393,65%,565,404,491,455,23
Plainfield Charter Township  Precinct 6,3012,2043,67%,893,564,629,622,20
Plainfield Charter Township  Precinct 7,2717,1948,71%,822,518,703,726,18
Plainfield Charter Township  Precinct 8,2819,1909,67%,710,520,736,586,33
Plainfield Charter Township  Precinct 9,2445,1611,65%,673,437,483,577,11
Plainfield Charter Township  Precinct 10,1777,1345,75%,564,346,423,398,17
Plainfield Charter Township  Precinct 11,1706,1286,75%,500,360,471,424,17
Rockford  Precinct 1,1866,1204,64%,496,360,359,371,5
Rockford  Precinct 2,2510,1730,68%,536,494,559,529,23
Solon Township  Precinct 1,1814,1095,60%,417,208,432,360,14
Solon Township  Precinct 2,2765,1630,58%,722,327,427,616,11
Sparta Township  Precinct 1,2898,1650,56%,703,451,513,475,21
Sparta Township  Precinct 2,1516,912,60%,366,247,282,303,4
Sparta Township  Precinct 3,1969,1135,57%,431,231,401,432,8
