TOTALS: 2 of 2 Precincts ,RegisteredVoters,BallotsCast,Turnout,"MonicaBurtt (REP)
",WriteIn
Totals,4707,3011,63%,2115,64
Lowell Charter Township Precinct 1,2438,1661,68%,1184,23
Lowell Charter Township Precinct 2,2269,1350,59%,931,41
