TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,Tami Carlone (REP),Richard Zeile (REP),Judith P. Pritchett (DEM),Tiffany Tilley (DEM),Scotty Boman (LIB),John J. Tatar (LIB),Karen Adams (UST),Douglas Levesque (UST),Sherry A. Wells (GRN),Mary Anne Hering (WCP),Logan R. Smith (WCP),WriteIn
Gaines Charter Township Precinct 4,2879,1178,40%,454,408,454,445,39,28,22,12,19,60,45,9
Gaines Charter Township Precinct 5,1905,937,49%,321,284,435,426,29,21,19,11,18,32,25,1
Gaines Charter Township Precinct 6,1965,1385,70%,831,787,354,341,45,28,24,11,10,22,16,4
Gaines Charter Township Precinct 7,2566,1811,70%,1082,1009,488,450,49,33,16,6,18,38,26,5
Gaines Charter Township Precinct 8,2266,1430,63%,769,707,412,380,53,29,25,10,8,32,27,12
Gaines Charter Township Precinct 9,1764,1133,64%,502,463,455,465,27,14,10,6,11,22,7,1
Grand Rapids Ward 1 Precinct 1,2432,1089,44%,238,211,571,556,46,32,22,9,28,50,28,10
Grand Rapids Ward 1 Precinct 2,1324,516,38%,92,76,298,287,20,18,13,5,18,19,14,1
Grand Rapids Ward 1 Precinct 3,1992,1336,67%,369,345,728,698,54,26,14,7,18,31,15,6
Grand Rapids Ward 1 Precinct 4,1786,1157,64%,219,201,707,693,39,20,12,3,23,28,17,2
Grand Rapids Ward 1 Precinct 5,1312,691,52%,149,133,360,354,26,17,16,4,28,31,20,0
Grand Rapids Ward 1 Precinct 6,2149,1457,67%,565,500,627,593,41,25,22,16,22,41,29,3
Grand Rapids Ward 1 Precinct 7,937,622,66%,248,220,238,230,24,15,6,4,7,15,12,4
Grand Rapids Ward 1 Precinct 8,1265,920,72%,287,256,459,436,39,24,16,12,10,24,14,9
Grand Rapids Ward 1 Precinct 9,2671,895,33%,182,165,504,509,26,21,10,2,33,43,16,6
Grand Rapids Ward 1 Precinct 10,1757,1061,60%,306,276,536,506,33,14,19,5,22,37,17,9
Grand Rapids Ward 1 Precinct 11,819,634,77%,254,242,279,247,19,8,6,4,6,10,12,0
Grand Rapids Ward 1 Precinct 12,1895,732,38%,124,121,406,405,28,23,19,10,22,29,28,7
Grand Rapids Ward 1 Precinct 13,2150,940,43%,247,236,491,464,50,35,9,3,16,28,13,2
Grand Rapids Ward 1 Precinct 14,2101,1271,60%,353,320,595,609,60,46,21,7,37,46,35,0
Grand Rapids Ward 1 Precinct 15,2003,573,28%,58,51,377,387,7,12,9,8,11,27,20,3
Grand Rapids Ward 1 Precinct 16,2074,678,32%,83,66,410,401,25,8,15,5,18,32,21,0
