TOTALS: 2 of 2 Precincts ,RegisteredVoters,BallotsCast,Turnout,Yes,No
Totals,4579,2725,59%,1141,1397
Solon Township  Precinct 1,1814,1095,60%,435,578
Solon Township  Precinct 2,2765,1630,58%,706,819
