TOTALS: 2 of 2 Precincts ,RegisteredVoters,BallotsCast,Turnout,YES,NO
Totals,5071,440,8%,153,269
Nelson Township  Precinct 1,2306,416,18%,152,248
Solon Township  Precinct 2,2765,24,0%,1,21
