TOTALS: 252 of 252 Precincts ,Registered Voters,Ballots Cast,Turnout,Bill Schuette / Lisa Posthumus Lyons (REP),"Gretchen Whitmer / Garlin D. Gilchrist II (DEM)
",Bill Gelineau / Angelique Chaiser Thomas (LIB),Todd Schleiger / Earl P. Lackie (UST),Jennifer V. Kurland / Charin H. Davenport (GRN),Keith Butkovich / Raymond Warner (NLP),Write In
Grand Rapids Ward 1 Precinct 10,1757,1061,60%,373,636,17,1,8,4,1
Grand Rapids Ward 1 Precinct 11,819,634,77%,305,310,5,4,6,0,1
Grand Rapids Ward 1 Precinct 12,1895,732,38%,150,532,17,11,8,1,1
Grand Rapids Ward 1 Precinct 13,2150,940,43%,274,617,26,1,9,2,1
Grand Rapids Ward 1 Precinct 14,2101,1271,60%,412,789,36,6,12,4,0
Grand Rapids Ward 1 Precinct 15,2003,573,28%,68,475,6,2,9,2,3
Grand Rapids Ward 1 Precinct 16,2074,678,32%,96,543,11,1,12,4,0
Grand Rapids Ward 1 Precinct 17,2352,1170,49%,347,726,23,13,29,3,4
Grand Rapids Ward 1 Precinct 18,1152,438,38%,38,365,7,2,7,1,4
Grand Rapids Ward 1 Precinct 19,2134,990,46%,245,666,32,5,15,5,4
Grand Rapids Ward 1 Precinct 20,2160,1614,74%,780,769,21,6,14,4,7
Grand Rapids Ward 1 Precinct 21,1827,1363,74%,702,626,20,2,2,3,0
Grand Rapids Ward 1 Precinct 22,747,238,31%,32,184,7,2,3,2,1
Grand Rapids Ward 1 Precinct 23,1820,1338,73%,664,629,23,2,5,1,2
Grand Rapids Ward 1 Precinct 24,1782,479,26%,41,404,8,6,13,1,0
Grand Rapids Ward 2 Precinct 25,1324,797,60%,129,620,23,4,13,2,0
Grand Rapids Ward 2 Precinct 26,1710,1009,59%,311,658,15,2,10,2,1
Grand Rapids Ward 2 Precinct 27,1297,757,58%,192,519,23,2,10,3,0
Grand Rapids Ward 2 Precinct 28,2027,1159,57%,299,798,26,13,8,3,1
Grand Rapids Ward 2 Precinct 29,1926,806,41%,171,586,19,3,13,2,2
