TOTALS: 2 of 2 Precincts ,RegisteredVoters,BallotsCast,Turnout,Yes,No
Totals,3100,2126,68%,907,1157
Grattan Township  Precinct 1,1502,993,66%,424,553
Grattan Township  Precinct 2,1598,1133,70%,483,604
