TOTALS: 189 of 189 Precincts ,Registered Voters,Ballots Cast,Turnout,Justin Amash (REP),Cathy Albro (DEM),Ted Gerrard (UST),Write In
Grand Rapids Ward 2 Precinct 26,1710,1009,59%,362,600,22,2
Grand Rapids Ward 2 Precinct 27,1297,757,58%,258,467,18,0
Grand Rapids Ward 2 Precinct 28,2027,1159,57%,378,724,19,4
Grand Rapids Ward 2 Precinct 29,1926,806,41%,210,547,21,2
Grand Rapids Ward 2 Precinct 30,1694,1248,73%,408,805,14,2
Grand Rapids Ward 2 Precinct 31,2277,1205,52%,365,765,35,1
Grand Rapids Ward 2 Precinct 32,1428,746,52%,214,496,11,2
Grand Rapids Ward 2 Precinct 33,1072,742,69%,177,540,3,3
Grand Rapids Ward 2 Precinct 34,2128,1248,58%,434,753,23,1
Grand Rapids Ward 2 Precinct 35,1960,1356,69%,584,722,20,1
Grand Rapids Ward 2 Precinct 36,1025,560,54%,217,304,18,2
Grand Rapids Ward 2 Precinct 37,2460,1635,66%,687,875,29,3
Grand Rapids Ward 2 Precinct 38,2774,1449,52%,422,938,20,6
Grand Rapids Ward 2 Precinct 39,1064,600,56%,95,476,4,5
Grand Rapids Ward 2 Precinct 40,1864,1218,65%,233,945,8,7
"



                Grand Rapids Ward 2 Precinct 41*
*

Ward 2, Precinct 41
Election day ballots cast at the Ward 2, Precinct 41 polling place were uploaded into the reporting system twice. The actual number of total ballots cast in this precinct was 1,541, a 62.2% turnout. The error did not change the outcome of any candidate races or ballot proposals. Numbers shown on this webpage are certified and cannot be altered.

×


",2477,2771,111%,1175,1428,73,14
Grand Rapids Ward 2 Precinct 42,1918,1359,70%,511,785,19,3
Grand Rapids Ward 2 Precinct 43,1741,1142,65%,484,589,25,2
Grand Rapids Ward 2 Precinct 44,1887,1259,66%,589,611,25,1
Grand Rapids Ward 2 Precinct 45,2124,1495,70%,730,707,20,1
Grand Rapids Ward 2 Precinct 46,2268,1248,55%,530,661,16,2
Grand Rapids Ward 2 Precinct 47,1676,1275,76%,499,729,17,0
Grand Rapids Ward 2 Precinct 48,1482,840,56%,186,612,13,3
Grand Rapids Ward 2 Precinct 49,2046,1136,55%,246,839,14,0
Grand Rapids Ward 2 Precinct 50,2306,1432,62%,258,1121,17,2
Grand Rapids Ward 3 Precinct 51,1724,885,51%,292,554,19,1
Grand Rapids Ward 3 Precinct 52,915,521,56%,76,418,11,1
Grand Rapids Ward 3 Precinct 53,2863,1739,60%,920,758,18,0
Grand Rapids Ward 3 Precinct 54,1502,1022,68%,518,473,8,1
Grand Rapids Ward 3 Precinct 55,2164,1449,66%,627,775,9,1
Grand Rapids Ward 3 Precinct 56,2007,1289,64%,588,661,13,0
Grand Rapids Ward 3 Precinct 57,1234,805,65%,286,490,7,0
Grand Rapids Ward 3 Precinct 58,1771,1130,63%,504,588,16,0
Grand Rapids Ward 3 Precinct 59,2393,1610,67%,582,971,16,1
Grand Rapids Ward 3 Precinct 60,2375,1329,55%,203,1080,12,2
Grand Rapids Ward 3 Precinct 61,899,571,63%,141,407,2,0
Grand Rapids Ward 3 Precinct 62,1823,851,46%,168,651,11,0
Grand Rapids Ward 3 Precinct 63,1860,891,47%,128,723,14,1
Grand Rapids Ward 3 Precinct 64,1984,885,44%,214,630,17,2
Grand Rapids Ward 3 Precinct 65,2000,965,48%,281,632,27,0
Grand Rapids Ward 3 Precinct 66,2363,819,34%,59,716,14,2
Grand Rapids Ward 3 Precinct 67,2799,1032,36%,76,917,12,1
Grand Rapids Ward 3 Precinct 68,1642,1135,69%,292,828,5,0
Grand Rapids Ward 3 Precinct 69,1359,983,72%,514,447,5,0
Grand Rapids Ward 3 Precinct 70,1791,660,36%,55,572,8,5
Grand Rapids Ward 3 Precinct 71,1695,957,56%,194,727,11,0
Grand Rapids Ward 3 Precinct 72,871,603,69%,183,402,3,1
Grand Rapids Ward 3 Precinct 73,1165,766,65%,303,445,3,1
Grand Rapids Ward 3 Precinct 74,1371,808,58%,246,525,11,2
Grand Rapids Ward 3 Precinct 75,1209,602,49%,106,468,7,1
Grand Rapids Ward 3 Precinct 76,1577,653,41%,53,575,3,3
Grand Rapids Ward 3 Precinct 77,1291,916,70%,321,567,9,1
Grand Rapids Charter Township Precinct 1,1513,1075,71%,680,364,8,1
Grand Rapids Charter Township Precinct 2,1016,738,72%,408,301,9,0
Grand Rapids Charter Township Precinct 3,1812,1358,74%,707,594,18,1
Grand Rapids Charter Township Precinct 4,1733,1263,72%,663,550,20,2
Grand Rapids Charter Township Precinct 5,1863,1364,73%,679,634,17,3
Grand Rapids Charter Township Precinct 6,1720,1276,74%,684,536,23,2
Grand Rapids Charter Township Precinct 7,1043,669,64%,375,267,14,2
Grand Rapids Charter Township Precinct 8,1783,1300,72%,734,530,14,0
Grand Rapids Charter Township Precinct 9,1156,892,77%,555,302,15,2
Grattan Township Precinct 1,1502,993,66%,659,276,31,3
Grattan Township Precinct 2,1598,1133,70%,672,413,26,0
Lowell Precinct 1,1606,965,60%,498,420,27,4
Lowell Precinct 2,1377,738,53%,422,275,20,1
Lowell Charter Township Precinct 1,2438,1661,68%,1054,521,29,0
Lowell Charter Township Precinct 2,2269,1350,59%,759,507,35,4
Nelson Township Precinct 1,2306,1112,48%,701,332,52,2
Nelson Township Precinct 2,1580,968,61%,646,263,20,1
Oakfield Township Precinct 1,1557,983,63%,601,330,30,3
Oakfield Township Precinct 2,1812,1080,59%,674,328,49,2
