TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,PatriciaD.Gardner,G.PatrickHillary,WriteIn
Grand Rapids  Ward 2  Precinct 29,1926,806,41%,514,386,12
Grand Rapids  Ward 2  Precinct 30,1694,1248,73%,733,634,9
Grand Rapids  Ward 2  Precinct 31,2277,1205,52%,706,548,18
Grand Rapids  Ward 2  Precinct 32,1428,746,52%,440,337,11
Grand Rapids  Ward 2  Precinct 33,1072,742,69%,419,361,15
Grand Rapids  Ward 2  Precinct 34,2128,1247,58%,806,639,21
Grand Rapids  Ward 2  Precinct 35,1960,1356,69%,838,817,14
Grand Rapids  Ward 2  Precinct 36,1025,560,54%,352,277,11
Grand Rapids  Ward 2  Precinct 37,2460,1635,66%,955,934,15
Grand Rapids  Ward 2  Precinct 38,2774,1449,52%,832,638,44
Grand Rapids  Ward 2  Precinct 39,1064,600,56%,347,268,8
Grand Rapids  Ward 2  Precinct 40,1864,1218,65%,725,554,20
"

Grand Rapids  Ward 2  Precinct  41*
*

Ward 2, Precinct 41
Election day ballots cast at the Ward 2, Precinct 41 polling place were uploaded into the reporting system twice. The actual number of total ballots cast in this precinct was 1,541, a 62.2% turnout. The error did not change the outcome of any candidate races or ballot proposals. Numbers shown on this webpage are certified and cannot be altered.

×


",2477,2771,111%,1679,1526,40
Grand Rapids  Ward 2  Precinct 42,1918,1359,70%,818,696,14
Grand Rapids  Ward 2  Precinct 43,1741,1142,65%,664,633,10
Grand Rapids  Ward 2  Precinct 44,1887,1259,66%,846,750,9
Grand Rapids  Ward 2  Precinct 45,2124,1495,70%,927,960,11
Grand Rapids  Ward 2  Precinct 46,2268,1248,55%,807,716,26
Grand Rapids  Ward 2  Precinct 47,1676,1275,76%,792,794,7
Grand Rapids  Ward 2  Precinct 48,1482,839,56%,507,421,14
Grand Rapids  Ward 2  Precinct 49,2046,1136,55%,649,473,31
Grand Rapids  Ward 2  Precinct 50,2306,1432,62%,879,676,20
Grand Rapids  Ward 3  Precinct 51,1724,885,51%,578,463,23
Grand Rapids  Ward 3  Precinct 52,915,521,56%,309,255,12
Grand Rapids  Ward 3  Precinct 53,2863,1739,60%,1095,1054,11
Grand Rapids  Ward 3  Precinct 54,1502,1022,68%,622,610,17
Grand Rapids  Ward 3  Precinct 55,2164,1449,66%,903,866,18
Grand Rapids  Ward 3  Precinct 56,2007,1289,64%,874,762,9
Grand Rapids  Ward 3  Precinct 57,1234,805,65%,521,458,3
Grand Rapids  Ward 3  Precinct 58,1771,1130,63%,736,674,20
Grand Rapids  Ward 3  Precinct 59,2393,1610,67%,1006,914,17
Grand Rapids  Ward 3  Precinct 60,2375,1329,55%,822,643,22
Grand Rapids  Ward 3  Precinct 61,899,571,63%,343,285,3
Grand Rapids  Ward 3  Precinct 62,1823,851,46%,557,436,21
Grand Rapids  Ward 3  Precinct 63,1860,891,47%,613,415,9
Grand Rapids  Ward 3  Precinct 64,1984,885,44%,584,419,24
Grand Rapids  Ward 3  Precinct 65,2000,965,48%,624,502,19
Grand Rapids  Ward 3  Precinct 66,2363,819,34%,513,327,35
Grand Rapids  Ward 3  Precinct 67,2799,1032,36%,698,411,25
Grand Rapids  Ward 3  Precinct 68,1642,1135,69%,717,575,15
Grand Rapids  Ward 3  Precinct 69,1359,983,72%,563,635,8
Grand Rapids  Ward 3  Precinct 70,1791,660,36%,414,252,36
Grand Rapids  Ward 3  Precinct 71,1695,957,56%,592,444,31
Grand Rapids  Ward 3  Precinct 72,871,603,69%,377,283,8
Grand Rapids  Ward 3  Precinct 73,1165,766,65%,472,405,12
Grand Rapids  Ward 3  Precinct 74,1371,808,58%,502,393,16
Grand Rapids  Ward 3  Precinct 75,1209,602,49%,392,277,9
Grand Rapids  Ward 3  Precinct 76,1577,653,41%,405,286,21
Grand Rapids  Ward 3  Precinct 77,1291,916,70%,569,503,14
Grand Rapids Charter Township  Precinct 1,1513,1075,71%,632,625,12
Grand Rapids Charter Township  Precinct 2,1016,738,72%,466,416,9
Grand Rapids Charter Township  Precinct 3,1812,1358,74%,868,836,12
Grand Rapids Charter Township  Precinct 4,1733,1263,72%,809,726,22
Grand Rapids Charter Township  Precinct 5,1863,1364,73%,807,770,23
Grand Rapids Charter Township  Precinct 6,1720,1276,74%,778,687,16
Grand Rapids Charter Township  Precinct 7,1043,669,64%,362,368,10
Grand Rapids Charter Township  Precinct 8,1783,1300,72%,788,742,18
Grand Rapids Charter Township  Precinct 9,1156,892,77%,511,548,13
Grandville  Precinct 1,1577,1029,65%,665,578,13
Grandville  Precinct 2,2014,1232,61%,750,715,15
Grandville  Precinct 3,2197,1391,63%,882,747,12
Grandville  Precinct 4,1979,1483,74%,938,929,6
Grandville  Precinct 5,2147,1489,69%,943,861,20
Grandville  Precinct 6,1655,1182,71%,707,698,13
Grattan Township  Precinct 1,1502,993,66%,652,573,5
Grattan Township  Precinct 2,1598,1133,70%,646,655,11
Kentwood  Ward 1  Precinct 1,2072,1009,48%,704,578,13
Kentwood  Ward 1  Precinct 2,2787,1711,61%,1141,1001,23
Kentwood  Ward 1  Precinct 3,1524,971,63%,656,549,18
Kentwood  Ward 1  Precinct 4,1385,654,47%,423,345,11
Kentwood  Ward 1  Precinct 5,1192,647,54%,407,337,9
Kentwood  Ward 1  Precinct 6,2226,1085,48%,702,626,11
Kentwood  Ward 1  Precinct 7,1944,1075,55%,706,569,31
Kentwood  Ward 1  Precinct 8,2348,1578,67%,1049,939,15
Kentwood  Ward 1  Precinct 9,2145,1149,53%,774,595,12
Kentwood  Ward 2  Precinct 10,2150,1401,65%,868,786,9
Kentwood  Ward 2  Precinct 11,2803,1759,62%,1147,1010,23
Kentwood  Ward 2  Precinct 12,1551,929,59%,585,489,19
Kentwood  Ward 2  Precinct 13,2030,1207,59%,807,707,8
Kentwood  Ward 2  Precinct 14,787,514,65%,334,293,3
Kentwood  Ward 2  Precinct 15,2618,1231,47%,809,652,35
Kentwood  Ward 2  Precinct 16,2612,1825,69%,1089,1076,21
Kentwood  Ward 2  Precinct 17,1674,765,45%,485,363,9
Kentwood  Ward 2  Precinct 18,2017,1003,49%,627,502,25
Lowell  Precinct 1,1606,965,60%,650,541,17
Lowell  Precinct 2,1377,738,53%,433,432,5
Lowell Charter Township  Precinct 1,2438,1661,68%,1022,895,11
Lowell Charter Township  Precinct 2,2269,1350,59%,835,759,23
Nelson Township  Precinct 1,2306,1112,48%,684,554,21
Nelson Township  Precinct 2,1580,968,61%,555,541,23
Oakfield Township  Precinct 1,1557,983,63%,613,548,17
Oakfield Township  Precinct 2,1812,1080,59%,648,651,20
Oakfield Township  Precinct 3 ,1321,783,59%,504,437,16
Plainfield Charter Township  Precinct 1,2614,1944,74%,1091,1128,22
Plainfield Charter Township  Precinct 2,2249,1437,63%,898,774,22
Plainfield Charter Township  Precinct 3,2112,1215,57%,783,702,23
Plainfield Charter Township  Precinct 4,2300,1467,63%,908,846,19
Plainfield Charter Township  Precinct 5,2123,1393,65%,861,848,20
Plainfield Charter Township  Precinct 6,3012,2043,67%,1268,1184,25
Plainfield Charter Township  Precinct 7,2717,1948,71%,1275,1276,19
Plainfield Charter Township  Precinct 8,2819,1909,67%,1209,1074,29
Plainfield Charter Township  Precinct 9,2445,1611,65%,989,974,14
Plainfield Charter Township  Precinct 10,1777,1345,75%,825,745,14
Plainfield Charter Township  Precinct 11,1706,1286,75%,770,798,12
Rockford  Precinct 1,1866,1204,64%,753,660,6
Rockford  Precinct 2,2510,1730,68%,971,952,18
Solon Township  Precinct 1,1814,1095,60%,724,606,18
Solon Township  Precinct 2,2765,1630,58%,971,970,16
Sparta Township  Precinct 1,2898,1650,56%,1055,915,23
Sparta Township  Precinct 2,1516,912,60%,529,522,6
Sparta Township  Precinct 3,1969,1135,57%,733,635,7
Spencer Township  Precinct 1,2952,1803,61%,1049,1077,29
Tyrone Township  Precinct 1,1760,1063,60%,670,595,21
Tyrone Township  Precinct 2,1401,819,58%,512,509,9
Vergennes Township  Precinct 1,1870,1365,72%,793,771,13
Vergennes Township  Precinct 2,1653,1167,70%,679,678,21
Walker  Ward 1  Precinct 1,2037,997,48%,648,534,17
Walker  Ward 1  Precinct 2,1733,1176,67%,750,727,7
Walker  Ward 1  Precinct 3,1996,1316,65%,865,740,21
Walker  Ward 2  Precinct 4,2243,1567,69%,867,884,3
Walker  Ward 2  Precinct 5,1904,1341,70%,823,779,10
Walker  Ward 2  Precinct 6,1880,1193,63%,707,691,7
Walker  Ward 3  Precinct 7,1966,1352,68%,857,802,17
Walker  Ward 3  Precinct 8,1759,1268,72%,735,753,7
Walker  Ward 3  Precinct 9,1981,1274,64%,853,728,19
Wyoming  Ward 1  Precinct 1,1870,915,48%,589,510,17
Wyoming  Ward 1  Precinct 2,1311,535,40%,371,258,6
Wyoming  Ward 1  Precinct 3,2130,940,44%,599,475,16
Wyoming  Ward 1  Precinct 4,2019,1071,53%,703,552,13
Wyoming  Ward 1  Precinct 5,2086,1037,49%,662,576,17
Wyoming  Ward 1  Precinct 6,1502,729,48%,509,406,18
Wyoming  Ward 1  Precinct 7,1890,1143,60%,726,695,19
Wyoming  Ward 1  Precinct 8,1230,576,46%,371,275,6
Wyoming  Ward 1  Precinct 9,2268,1029,45%,686,588,19
Wyoming  Ward 2  Precinct 10,1478,665,44%,441,336,8
Wyoming  Ward 2  Precinct 11,1351,568,42%,355,282,14
Wyoming  Ward 2  Precinct 12,1280,508,39%,339,245,11
Wyoming  Ward 2  Precinct 13,1666,873,52%,548,472,16
Wyoming  Ward 2  Precinct 14,1166,666,57%,454,391,9
Wyoming  Ward 2  Precinct 15,968,530,54%,327,307,12
Wyoming  Ward 2  Precinct 16,1352,771,57%,499,425,11
Wyoming  Ward 2  Precinct 17,1923,793,41%,508,392,37
