TOTALS: 121 of 121 Precincts ,RegisteredVoters,BallotsCast,Turnout,Chris Afendoulis (REP),Winnie Brinks (DEM),Robert VanNoller (LIB),Louis Palus (WCP),WriteIn
Grand Rapids Ward 2 Precinct 49,2046,1136,55%,192,868,21,18,0
Grand Rapids Ward 2 Precinct 50,2306,1432,62%,206,1154,23,15,0
Grand Rapids Ward 3 Precinct 51,1724,885,51%,253,577,10,16,3
Grand Rapids Ward 3 Precinct 52,915,521,56%,57,431,10,8,0
Grand Rapids Ward 3 Precinct 53,2863,1739,60%,816,844,19,8,0
Grand Rapids Ward 3 Precinct 54,1502,1022,68%,462,526,6,6,0
Grand Rapids Ward 3 Precinct 55,2164,1449,66%,561,832,10,9,3
Grand Rapids Ward 3 Precinct 56,2007,1289,64%,481,752,13,13,0
Grand Rapids Ward 3 Precinct 57,1234,805,65%,251,511,7,12,1
Grand Rapids Ward 3 Precinct 58,1771,1130,63%,442,638,10,14,0
Grand Rapids Ward 3 Precinct 59,2393,1610,67%,481,1075,18,9,1
Grand Rapids Ward 3 Precinct 60,2375,1329,55%,150,1113,15,19,3
Grand Rapids Ward 3 Precinct 61,899,571,63%,102,442,8,4,0
Grand Rapids Ward 3 Precinct 62,1823,851,46%,125,666,11,19,0
Grand Rapids Ward 3 Precinct 63,1860,891,47%,93,743,10,22,0
Grand Rapids Ward 3 Precinct 64,1984,885,44%,181,649,11,18,3
Grand Rapids Ward 3 Precinct 65,2000,965,48%,246,657,13,17,0
Grand Rapids Ward 3 Precinct 66,2363,819,34%,45,708,7,29,1
Grand Rapids Ward 3 Precinct 67,2799,1032,36%,58,928,8,16,1
Grand Rapids Ward 3 Precinct 68,1642,1135,69%,224,884,9,6,0
Grand Rapids Ward 3 Precinct 69,1359,983,72%,468,487,5,2,0
Grand Rapids Ward 3 Precinct 70,1791,660,36%,29,584,8,15,5
Grand Rapids Ward 3 Precinct 71,1695,957,56%,150,767,10,8,3
Grand Rapids Ward 3 Precinct 72,871,603,69%,151,424,4,7,1
Grand Rapids Ward 3 Precinct 73,1165,766,65%,236,494,9,7,0
Grand Rapids Ward 3 Precinct 74,1371,808,58%,201,550,21,11,2
Grand Rapids Ward 3 Precinct 75,1209,602,49%,76,485,12,13,0
Grand Rapids Ward 3 Precinct 76,1577,653,41%,35,580,8,10,2
Grand Rapids Ward 3 Precinct 77,1291,916,70%,268,605,9,11,1
Grand Rapids Charter Township Precinct 1,1513,1075,71%,671,362,9,2,0
Grand Rapids Charter Township Precinct 2,1016,738,72%,412,296,7,2,0
Grand Rapids Charter Township Precinct 3,1812,1358,74%,714,589,9,4,0
Grand Rapids Charter Township Precinct 4,1733,1263,72%,651,565,15,5,2
Grand Rapids Charter Township Precinct 5,1863,1364,73%,683,629,16,6,3
Grand Rapids Charter Township Precinct 6,1720,1276,74%,667,537,18,13,0
Grand Rapids Charter Township Precinct 7,1043,669,64%,342,285,8,12,1
Grand Rapids Charter Township Precinct 8,1783,1300,72%,728,523,8,3,0
Grand Rapids Charter Township Precinct 9,1156,892,77%,534,308,14,9,1
Lowell Precinct 1,1606,965,60%,444,452,25,20,4
Lowell Precinct 2,1377,738,53%,371,307,12,20,1
Lowell Charter Township Precinct 1,2438,1661,68%,983,557,31,19,1
Lowell Charter Township Precinct 2,2269,1350,59%,707,524,35,34,3
